키워드,언론사,기사명,날짜,URL
뉴스1,제주 고3 백신 접종 완료…13일부터 고등학교 전체 등교 가능,2021-09-10,https://www.news1.kr/articles/?4429638,고3 백신
시사매거진,"제주도교육청, 고3 백신 접종 완료로 고등학교 전체 등교 가능",2021-09-10,http://www.sisamagazine.co.kr/news/articleView.html?idxno=400597,고3 백신
더팩트,10월까지 1250만 회분 필요한데…백신수급 '불안불안',2021-09-07,http://news.tf.co.kr/read/life/1886439.htm,고3 백신
조선비즈,이달 초까지 고3·교직원 등 백신 2차 접종 완료,2021.09.02.,https://biz.chosun.com/topics/topics_social/2021/09/02/ITZHK3CPY5BBZF7VN2ENJJAY2E/?utm_source=naver&utm_medium=original&utm_campaign=biz,고3 백신
동아일보,‘백신 허수’ 2만명 이상이었다…올 수능 지원자는 3.3% 늘어 51만명,2021-09-07,https://www.donga.com/news/article/all/20210906/109115262/1,고3 백신
뉴시스,"평창군, 군민 40% 코로나19 백신 접종 완료",2021-09-07,http://www.newsis.com/view/?id=NISX20210907_0001574516&cID=10805&pID=10800,고3 백신
매일경제,백혈병 하혈 설사 통증…백신 부작용 불안감에 2030 '열공 모드',2021.09.02.,http://news.mk.co.kr/newsRead.php?no=847715&year=2021,고3 백신
기호일보,등교수업 확대하자마자 고3 '돌파감염',2021-09-09,http://www.kihoilbo.co.kr/news/articleView.html?idxno=945101,고3 백신
이데일리,교육부 “4단계서도 등교확대 입장 불변”…고3 접종률 84%,2021.09.02.,http://www.edaily.co.kr/news/newspath.asp?newsid=02240246629176184,고3 백신
동아일보,"올 9월 모평, 2만명 이상 ‘수능 백신’ 맞으려 허수 지원",A14면 1단,https://www.donga.com/news/article/all/20210907/109123727/1,고3 백신
뉴시스,오늘 수능 마지막 모평 51만8677명 응시...3만명은 백신 노린 '허수' 추정,2021.09.01.,http://www.newsis.com/view/?id=NISX20210831_0001566469&cID=10201&pID=10200,고3 백신
뉴시스,국민 55.8% 백신 1차 접종…50세 이상은 90% 넘어(종합),2021.08.30.,http://www.newsis.com/view/?id=NISX20210830_0001565370&cID=10201&pID=10200,고3 백신
매일신문,"고3 아닌 학생들 잇단 '집단감염'…""접종 구분이 왜 수험생""",9면 1단,https://news.imaeil.com/Society/2021090117230120600,고3 백신
무등일보,[교단칼럼] 코로나 백신 접종 우선 순위와 교육,2021-09-07,http://www.mdilbo.com/detail/CAl8HC/653745,고3 백신
