키워드,언론사,기사명,날짜,URL
조선일보,‘백신 티켓’ 사실이었나?… 모평 N수생 증가폭이 수능보다 컸다,2021-09-06,https://www.chosun.com/national/education/2021/09/06/CSPLSWENAVFGFGVNQHUY4DLMDM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,고3 백신부작용
오마이뉴스,중학생 우리 아이 백신 맞아도 될까?,2021.08.31.,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002770822&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,고3 백신부작용
매일경제,백혈병 하혈 설사 통증…백신 부작용 불안감에 2030 '열공 모드',2021.09.02.,http://news.mk.co.kr/newsRead.php?no=847715&year=2021,고3 백신부작용
KBS,청년은 코로나보다 백신이 더 위험할까? 전문가에게 물었습니다,2021.08.26.,https://news.kbs.co.kr/news/view.do?ncd=5265267&ref=A,고3 백신부작용
SBS,"[뉴스쉽] 보건소 ""잘 몰라"" 질병청 ""통화 중""…백신 궁금하면 드루와",2021.08.28.,https://news.sbs.co.kr/news/endPage.do?news_id=N1006445151&plink=ORI&cooper=NAVER,고3 백신부작용
금강일보,'코로나 백신 부작용' 교원 불안감 상승,2021.09.02.,http://www.ggilbo.com/news/articleView.html?idxno=866962,고3 백신부작용
헬스조선,"수능 때문에 코로나 백신 맞은 고3, 부작용 얼마나 겪었나?",2021.08.15.,https://health.chosun.com/site/data/html_dir/2021/08/13/2021081301270.html,고3 백신부작용
쿠키뉴스,"""12~17세 접종, 백신 부작용 괜찮을까요?""",2021.09.01.,http://www.kukinews.com/newsView/kuk202108310206,고3 백신부작용
쿠키뉴스,"""코로나 백신과 백혈병 인과성 근거 없어…하루 10명 신규환자 진단""",2021.09.02.,http://www.kukinews.com/newsView/kuk202109020170,고3 백신부작용
세계일보,"""백신 맞고 '급성 백혈병' 진단...인과성 밝혀달라"" 靑 청원 이어져",2021.08.25.,http://www.segye.com/content/html/2021/08/25/20210825503233.html?OutUrl=naver,고3 백신부작용
아시아타임즈,백신 맞고 백혈병 진단 호소 잇따라...이번엔 체육교사,2021.08.28.,https://www.asiatime.co.kr/article/20210828500033,고3 백신부작용
뉴스1,"기저질환 12~15세, 화이자 접종후 부작용 3일내 소멸",2021.08.28.,https://www.news1.kr/articles/?4417059,고3 백신부작용
머니투데이,"""뭐가 잘못됐을까…"" 백신 맞고 백혈병으로 숨진 남편의 마지막 말",2021.08.24.,http://news.mt.co.kr/mtview.php?no=2021082411224616363,고3 백신부작용
뉴스핌,"'백신접종' 고3, 이상증상 1500건 넘어…심각 후유증 37건",2021.08.18.,http://www.newspim.com/news/view/20210818000942,고3 백신부작용
이데일리,"""20대 군인 아들, 백신 맞고 급성 백혈병..누가 책임지나""",2021.08.21.,http://www.edaily.co.kr/news/newspath.asp?newsid=01088966629149616,고3 백신부작용
머니투데이,"""건강했던 고3 아들, 백신 접종 9일 만에 급성 백혈병 판정""",2021.08.11.,http://news.mt.co.kr/mtview.php?no=2021081106581957878,고3 백신부작용
서울경제,화이자 맞은 고3 44만명 중 6명 심근염·심낭염 의심신고,2021.08.18.,https://www.sedaily.com/NewsView/22Q8HQY4B1,고3 백신부작용
뉴시스,"""백신 맞고 급성 백혈병 진단 받은 군인, 원인 밝혀달라"" 국민청원",2021.08.19.,http://www.newsis.com/view/?id=NISX20210819_0001553462&cID=10804&pID=14000,고3 백신부작용
국민일보,고3 접종자 44만명중 6명 심근염·심낭염 의심신고,2021.08.17.,http://news.kmib.co.kr/article/view.asp?arcid=0016176850&code=61121911&cp=nv,고3 백신부작용
UPI뉴스,"이왕재 ""델타 변이는 감기 수준…고3 백신 접종 당장 중단해야""",2021.08.13.,http://www.upinews.kr/newsView/upi202108130060,고3 백신부작용
아시아경제,확진자 연일 네 자리수인데…잇단 백신 부작용 靑 청원에 시민들 '불안',2021.08.12.,https://view.asiae.co.kr/article/2021081211071622869,고3 백신부작용
동아사이언스,고3 화이자 백신 접종 후 이상반응 다른 연령대와 비슷…어지러움＞두통＞ 메...,2021.08.16.,https://www.dongascience.com/news/view/48740,고3 백신부작용
뉴스톱,[팩트체크] 코로나는 감기? 서울대 명예교수의 백신 허위정보,2021.08.18.,https://www.newstof.com/news/articleView.html?idxno=12098,고3 백신부작용
머니투데이,"""군복무 중 백신 맞고 급성 백혈병""…고3·퇴직공무원 이어 3번째",2021.08.20.,http://news.mt.co.kr/mtview.php?no=2021082009232858465,고3 백신부작용
뉴스핌,"[구멍난 방역] ④""마스크 벗고 학교 가고 싶어요""…아이들 백신 접종은 언제?",2021.08.20.,http://www.newspim.com/news/view/20210820000219,고3 백신부작용
헤럴드경제,한교협 “고3 백신 부작용 대책 마련해야”,2021.07.20.,http://news.heraldcorp.com/view.php?ud=20210720000293,고3 백신부작용
메디칼타임즈,소아청소년 백신 접종 돌입…심장 부작용 우려 괜찮을까?,2021.08.18.,http://www.medicaltimes.com/Users/News/NewsView.html?mode=view&ID=1142355&REFERER=NP,고3 백신부작용
매일신문,"대구 고3 수험생 백신 접종 시작…""부작용 오래갈까 걱정""",6면 1단,https://news.imaeil.com/Society/2021071916290407451,고3 백신부작용
뉴시스,"[르포]""독감주사보다 안 아파요"" ""부작용 걱정""...고3 백신 접종 첫날",2021.07.19.,http://www.newsis.com/view/?id=NISX20210719_0001517717&cID=10803&pID=14000,고3 백신부작용
아주경제,[코로나19] 대규모 백신 접종에 부작용 속출…“백신기피 우려 가중”,2021.08.11.,http://www.ajunews.com/view/20210811151519033,고3 백신부작용
의협신문,"Excuse me, I have an objection-백신 접종과 방역기준에 이의(異議)있다",2021.08.16.,http://www.doctorsnews.co.kr/news/articleView.html?idxno=140623,고3 백신부작용
아시아경제,고3은 백신 부작용 걱정 태산인데…접종 결정 재촉하는 학교,2021.06.26.,https://view.asiae.co.kr/article/2021062615070303519,고3 백신부작용
동아사이언스,"[Q&A] 3분기 백신 접종 ""고3 mRNA 백신 맞아도 부작용 없을까?""",2021.07.05.,http://www.dongascience.com/news/view/47713,고3 백신부작용
중앙일보,“학교 정상화 위해 필요” “부작용 생기면 어쩌나”…고3 백신 접종 논란,A12면 1단,https://news.joins.com/article/olink/23668775,고3 백신부작용
스카이데일리,“고3 학생은 실험실 쥐가 아니다”,2021.08.12.,http://www.skyedaily.com/news/news_view.html?ID=138556,고3 백신부작용
청년의사,수능 앞둔 고3 코로나19 백신접종 두고 전문가들 '갑론을박',2021.07.13.,http://www.docdocdoc.co.kr/news/articleView.html?idxno=2012496,고3 백신부작용
더팩트,"""마음 놓고 수능 준비 할래요"" 충청권 고3 코로나19 백신 접종 첫날",2021.07.19.,http://news.tf.co.kr/read/national/1876038.htm,고3 백신부작용
가톨릭평화방송·평화신문,"[열린 인터뷰] 이재갑 ""방역 상황 바뀌었지만 백신 접종률 극대화해야""",2021.08.11.,http://www.cpbc.co.kr/CMS/news/view_body.php?cid=807534&path=202108,고3 백신부작용
금강일보,"[Q&A] 코로나19 예방접종, 안전한가요?...백신별 부작용부터 피해보상·각종논...",2021.07.14.,http://www.ggilbo.com/news/articleView.html?idxno=858483,고3 백신부작용
메디게이트뉴스,코로나19 백신 맞은 청소년 심근염·심낭염 발생?…10년간 자연발생 꾸준히 증...,2021.08.20.,http://www.medigatenews.com/news/3712852192,고3 백신부작용
메디컬투데이,"""고위험군인데 코로나 백신 못맞아요""…암·희귀질환자 백신 접종 역차별 논란",2021.08.16.,http://www.mdtoday.co.kr/mdtoday/index.html?no=426425,고3 백신부작용
KBS,울산도 고3 수험생 접종 시작…방학 방역 관리 ‘비상’,2021.07.20.,https://news.kbs.co.kr/news/view.do?ncd=5237180&ref=A,고3 백신부작용
KBS,울산도 고3 수험생 접종 시작…방학 방역 관리 ‘비상’,2021.07.19.,https://news.kbs.co.kr/news/view.do?ncd=5237056&ref=A,고3 백신부작용
YTN,"[뉴스라이브] ""추석 연휴 확산세 차단 주력""...전국 위험요인 '여전'",2021-09-10,https://www.ytn.co.kr/_ln/0103_202109100950470461,고3 백신부작용
매일경제,"""고3 수험생 아들 접종 후 백혈병""…백신 부작용 잇따라",2021.08.10.,http://news.mk.co.kr/newsRead.php?no=774615&year=2021,고3 백신부작용
에듀프레스,"""백신 부작용보다 수능이 더 걱정이죠"" .. 불안ㆍ기대 교차한 고3 접종 첫날",2021.07.19.,http://www.edupress.kr/news/articleView.html?idxno=7683,고3 백신부작용
부산일보,"""건강했던 고3 아들이 백신 접종 후 급성 백혈병 진단받아""",2021.08.10.,http://www.busan.com/view/busan/view.php?code=2021081022521516036,고3 백신부작용
머니투데이,"19일부터 고3 백신 접종 시작…""일주일 간 부작용 유의""",2021.07.18.,http://news.mt.co.kr/mtview.php?no=2021071801092266524,고3 백신부작용
데일리안,"""입시준비로 서울 왔다 접종하러 다시 지방 갑니다""…주먹구구 고3 백신접종 ...",2021.07.22.,https://www.dailian.co.kr/news/view/1013644/?sc=Naver,고3 백신부작용
뉴스핌,"고3·교직원 1차 접종 81%…""부작용 여부는 확인 중""",2021.07.26.,http://www.newspim.com/news/view/20210726000582,고3 백신부작용
메디파나뉴스,시작된 '고3' 백신접종… '안전성' 두고 의료계 갑론을박,2021.07.20.,http://medipana.com/news/news_viewer.asp?NewsNum=280546&MainKind=A&NewsKind=5&vCount=12&vKind=1,고3 백신부작용
뉴제주일보,"""백신 맞으니 한숨 놓여요""...제주 고3 '백신 무장' 순조",2021.07.19.,http://www.jejuilbo.net/news/articleView.html?idxno=167054,고3 백신부작용
국민일보,"“가슴 아프면 병원으로” 19일부터 고3도 백신, 주의사항",4면 1단,http://news.kmib.co.kr/article/view.asp?arcid=0924201336&code=11131300&cp=nv,고3 백신부작용
한겨레,“백신 맞으니 수능 더 집중할 수 있겠어요” 오늘 고3 첫 접종,6면 1단,https://www.hani.co.kr/arti/society/schooling/1004111.html,고3 백신부작용
쿠키뉴스,"""고3 접종, 별 탈 없기를""... 학부모들 '코로나 백신 기도'",2021.07.19.,http://www.kukinews.com/newsView/kuk202107190192,고3 백신부작용
