키워드,언론사,기사명,날짜,URL
중앙일보,"박영선 ""내가 이재명 혼냈다던데…거친 돌이 호박돌 됐더라""[정치언박싱]",A12면 1단,https://www.joongang.co.kr/article/25004628,박영선 백신
매일경제,"박영선, 내달 초 미국 싱크탱크行…""디지털경제 선도국 전략 연구""",2021.08.30.,http://news.mk.co.kr/newsRead.php?no=835663&year=2021,박영선 백신
중앙일보,"""백신은 어디 있습니까"" 100개 대학에 붙은 공개수배문 정체",2021.08.23.,https://www.joongang.co.kr/article/25000525,박영선 백신
시사포커스,"신전대협, 백신 공급 차질 논란 대자보 부착",2021.08.24.,http://www.sisafocus.co.kr/news/articleView.html?idxno=264852,박영선 백신
중소기업신문,"박영선,""모더나 백신 협상 성사 가교 역할""",2021.05.24.,http://www.smedaily.co.kr/news/articleView.html?idxno=204184,박영선 백신
MBN,"박영선, '모더나 백신 협상' 난항 때 물꼬 터",2021.05.23.,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4509013,박영선 백신
데일리안,"[4·7 재보선] 野 ""박영선, 토론서 백신부터 재건축·성장률까지 숱한 거짓말...",2021.03.31.,https://www.dailian.co.kr/news/view/977565/?sc=Naver,박영선 백신
중앙일보,"박영선 ""세계4위"" 오세훈 ""100위권""…백신접종률 누구 말 맞나",2021.03.31.,https://news.joins.com/article/olink/23619516,박영선 백신
한국경제,"박영선 ""고3에 화이자 백신"" vs 김미애 ""질병청과 논의했나""",2021.03.26.,https://www.hankyung.com/politics/article/2021032658037,박영선 백신
쿠키뉴스,‘백신’ 꺼낸 박영선… “고3 수험생이 우선 접종해야”,2021.03.25.,http://www.kukinews.com/newsView/kuk202103250216,박영선 백신
한국경제,"박영선 ""高3 화이자백신 우선접종 건의""",A6면 1단,https://www.hankyung.com/politics/article/2021032533181,박영선 백신
이데일리,"박영선 ""한국 100명당 백신 접종 속도, 세계 4위""",2021.03.27.,http://www.edaily.co.kr/news/newspath.asp?newsid=01128326628987584,박영선 백신
한국경제,"등굣길 나타난 박영선…""교사들 백신 우선접종, 정은경에 직접 건의"" [현장+]",2021.03.09.,https://www.hankyung.com/politics/article/2021030961457,박영선 백신
베타뉴스,"박영선, 코로나19 백신 접종 국립중앙의료원 방문",2021.03.02.,http://www.betanews.net:8080/article/1256325.html,박영선 백신
JTBC,"박영선, 백신 점검 행보…김진애 ""공정한 단일화 원해""",2021.03.02.,https://news.jtbc.joins.com/article/article.aspx?news_id=NB11994579,박영선 백신
연합뉴스TV,"與 경선투표 첫날…박영선·우상호, 백신접종 '신경전'",2021.02.26.,http://www.yonhapnewstv.co.kr/MYH20210226020800641/?did=1825m,박영선 백신
아시아경제,"백신접종 첫 날…우상호 ""폐 끼칠까 마음만"" vs 박영선 ""부족한 것 살펴야""",2021.02.26.,https://view.asiae.co.kr/article/2021022614055923529,박영선 백신
쿠키뉴스,박영선도 코로나백신 교사 우선접종 주장,2021.03.09.,http://www.kukinews.com/newsView/kuk202103090157,박영선 백신
채널A,"[여랑야랑]박영선, 백신 주사기 홍보대사? / 국민의힘, 웰빙정당의 실체?",2021.02.21.,http://www.ichannela.com/news/main/news_detailPage.do?publishId=000000239488,박영선 백신
이데일리,"‘경선 승리’ 박영선, 첫 행보는 백신 접종 현장",2021.03.02.,http://www.edaily.co.kr/news/newspath.asp?newsid=01420246628979384,박영선 백신
이데일리,"日이 요청한 K-주사기, 정부 코로나 백신 협상도 도왔다…박영선 ""기적""",2021.02.20.,http://www.edaily.co.kr/news/newspath.asp?newsid=01279206628952488,박영선 백신
데일리안,"박영선, 코로나19 백신 점검…우상호, 청년 주거·일자리 정책 발표",2021.02.18.,https://www.dailian.co.kr/news/view/965425/?sc=Naver,박영선 백신
