키워드,언론사,기사명,날짜,URL
프라임경제,[브리핑 경북] 백신·바이오헬스산업 활성화 업무협약 체결,2021-09-09,http://www.newsprime.co.kr/news/article.html?no=552408,이강덕 시장 백신
프라임경제,"[브리핑 경북] 영덕군, 전통시장 화재 복구에 전 행정력 집중",2021-09-07,http://www.newsprime.co.kr/news/article.html?no=552259,이강덕 시장 백신
뉴스1,이강덕 시장 백신접종 긴장하지 마세요,2021.07.19.,https://www.news1.kr/photos/view/?4879119,이강덕 시장 백신
데일리벳,"대한수의사회, 이강덕 포항시장 만나 광견병·구제역 백신 확대개선 요청",2021.06.17.,http://www.dailyvet.co.kr/news/association/149096,이강덕 시장 백신
뉴스1,이강덕 시장 코로나19 백신 안심하세요,2021.04.08.,https://www.news1.kr/photos/view/?4709443,이강덕 시장 백신
경북일보,"이강덕 포항시장, 백신 접종현장 참관…""효과 극대화에 힘 모아야""",2021.02.28.,http://www.kyongbuk.co.kr/news/articleView.html?idxno=2069556,이강덕 시장 백신
뉴스1,"이강덕 시장, 화이자 백신 접종 안전이 중요",2021.04.01.,https://www.news1.kr/photos/view/?4696204,이강덕 시장 백신
경상매일신문,"이강덕 포항시장, 안전한 백신접종 시행 ‘역량 집중’",2021.03.11.,http://www.ksmnews.co.kr/default/index_view_page.php?idx=327208&part_idx=7,이강덕 시장 백신
위키트리,포항시 75세 이상 어르신 백신접종 3개월간의 대장정 마무리,2021.06.29.,https://www.wikitree.co.kr/articles/664125,이강덕 시장 백신
경북신문,이강덕 포항시장 ˝차질없는 백신 접종 적극 당부˝,2021.02.25.,http://www.kbsm.net/default/index_view_page.php?idx=303562&part_idx=320,이강덕 시장 백신
위키트리,"이강덕 포항시장 AZ백신 접종 현장 참관, “안전·안심 접종” 당부",2021.02.26.,https://www.wikitree.co.kr/articles/623557,이강덕 시장 백신
뉴스핌,포항시 10일부터 예비군·민방위 대상자 얀센 백신 접종 시작,2021.06.10.,http://www.newspim.com/news/view/20210610000130,이강덕 시장 백신
위키트리,포항시 60세 이상 27일부터 백신 접종시작,2021.05.25.,https://www.wikitree.co.kr/articles/652106,이강덕 시장 백신
프레시안,이강덕 포항시장 ‘민생방역 안정화 대책’ 발표,2021.02.04.,https://www.pressian.com/pages/articles/2021020416574367069?utm_source=naver&utm_medium=search,이강덕 시장 백신
일요신문,[포항시정] 화이자 백신 4000여 명분 도착…75세 이상 어르신 접종 外,2021.03.24.,https://ilyo.co.kr/?ac=article_view&entry_id=396410,이강덕 시장 백신
위키트리,"제 목 : 포항시, 4월 1일부터 75세 이상 어르신 화이자 백신 접종 시작",2021.04.01.,https://www.wikitree.co.kr/articles/634738,이강덕 시장 백신
브레이크뉴스,"포항시, 오늘부터 75세 이상 어르신 백신 접종 시작",2021.04.01.,http://www.breaknews.com/796593,이강덕 시장 백신
브레이크뉴스,화이자 백신 4천여 명 분 24일 포항 도착…4월 1일부터 75세 이상 어르신 접종,2021.03.25.,http://www.breaknews.com/794790,이강덕 시장 백신
세계일보,"포항, 코로나19 백신 접종 첫 모의훈련 실시",2021.03.19.,http://www.segye.com/content/html/2021/03/19/20210319509898.html?OutUrl=naver,이강덕 시장 백신
경북일보,"[영상]포항시, 75세 이상 어르신 화이자 백신 접종 시작",2021.04.02.,http://www.kyongbuk.co.kr/news/articleView.html?idxno=2073208,이강덕 시장 백신
열린뉴스통신,화이자 백신 4천여 명 분 포항 도착…75세 이상 어르신 접종에 사용,2021.03.25.,http://www.onews.tv/news/articleView.html?idxno=63489,이강덕 시장 백신
경북일보,화이자 백신 4000여명 분 포항 도착…75세 이상 접종,2021.03.24.,http://www.kyongbuk.co.kr/news/articleView.html?idxno=2072355,이강덕 시장 백신
위키트리,"포항시, AZ백신 3천4백여 명 1차 접종, 대상자 중 92.8% 동의",2021.02.25.,https://www.wikitree.co.kr/articles/623133,이강덕 시장 백신
노컷뉴스,"포항시, AZ백신 대상자 3400여 명 1차 접종 시작",2021.03.01.,https://www.nocutnews.co.kr/news/5508080,이강덕 시장 백신
브레이크뉴스,"포항시, 코로나19 백신 도착...26일부터 1차 접종 시작",2021.02.25.,http://www.breaknews.com/788572,이강덕 시장 백신
국제뉴스,"이강덕 포항시장, 고3생 및 교직원 코로나19 백신 안전 접종을 위한 현장 점검",2021.07.19.,http://www.gukjenews.com/news/articleView.html?idxno=2269976,이강덕 시장 백신
일요신문,[포항시정] 철도공사 방문 이강덕 시장 ‘포항~수서 KTX 유치’ 요청 外,2021.07.15.,https://ilyo.co.kr/?ac=article_view&entry_id=406992,이강덕 시장 백신
프라임경제,[브리핑 경북] 이강덕 포항시장 '포항~수서 KTX 유치' 총력,2021.07.15.,http://www.newsprime.co.kr/news/article.html?no=548835,이강덕 시장 백신
브레이크뉴스,"이강덕 포항시장, 민선7기 3주년 “더 큰 포항 향한 새로운 도약”",2021.06.30.,http://www.breaknews.com/817438,이강덕 시장 백신
위키트리,"이강덕 포항시장 민선7기 3주년, 민생현장 행보부터‘시민 곁으로 가까이’",2021.07.01.,https://www.wikitree.co.kr/articles/664885,이강덕 시장 백신
잡포스트,"이강덕 포항시장, 민선7기 3주년 ""더 큰 포항 향한 새로운 도약""",2021.07.01.,http://www.job-post.co.kr/news/articleView.html?idxno=26955,이강덕 시장 백신
브레이크뉴스,"이강덕 포항시장, 해수욕장 개장 전 현장 점검 실시",2021.07.07.,http://www.breaknews.com/819079,이강덕 시장 백신
브레이크뉴스,"이강덕 포항시장, 시민들 생활 속으로 찾아가는 민생 행보 시작",2021.07.01.,http://www.breaknews.com/817864,이강덕 시장 백신
국제뉴스,포항시도 60~74세 코로나 백신 동네 병·의원서 접종 가능,2021.08.06.,http://www.gukjenews.com/news/articleView.html?idxno=2282344,이강덕 시장 백신
쿠키뉴스,포항 18~49세 백신 접종 시작된다,2021.08.05.,http://www.kukinews.com/newsView/kuk202108050112,이강덕 시장 백신
뉴스웨이,[동정] 이강덕 포항시장(7월 26일),2021.07.25.,http://www.newsway.co.kr/news/view?tp=1&ud=2021072518341631253,이강덕 시장 백신
위키트리,"이강덕 포항시장, 경로당 방문해 코로나19에 지친 어르신들 격려",2021.06.11.,https://www.wikitree.co.kr/articles/657923,이강덕 시장 백신
서울경제,"[파워기초단체장에게 듣는다] 이강덕 포항시장 ""철강서 바이오까지···포항...",28면 TOP,https://www.sedaily.com/NewsView/22NPLSBKMW,이강덕 시장 백신
경상매일신문,"이강덕 포항시장, 경로당 방문해 지친 어르신 격려",2021.06.10.,http://www.ksmnews.co.kr/default/index_view_page.php?idx=338383&part_idx=7,이강덕 시장 백신
