키워드,언론사,기사명,날짜,URL
쿠키뉴스,"포항시, 역대 최고 투자 유치",2021-09-07,http://www.kukinews.com/newsView/kuk202109060210,이강덕 포항시장 백신
프라임경제,[브리핑 경북] 백신·바이오헬스산업 활성화 업무협약 체결,2021-09-09,http://www.newsprime.co.kr/news/article.html?no=552408,이강덕 포항시장 백신
뉴스웨이,"포항시, 지난 5년간 신성장산업 기업투자 6조8천억 유치해",2021-09-08,http://www.newsway.co.kr/news/view?tp=1&ud=2021090717423417010,이강덕 포항시장 백신
일요신문,[포항시정] 기록적 폭우 지나간 태풍 피해현장에 자원봉사 물결 이어져 外,2021.08.26.,https://ilyo.co.kr/?ac=article_view&entry_id=410354,이강덕 포항시장 백신
일요신문,[포항시정] 태풍 ‘오마이스’ 피해 최소화 위한 사전대비 총력 外,2021.08.23.,https://ilyo.co.kr/?ac=article_view&entry_id=410042,이강덕 포항시장 백신
프라임경제,"[브리핑 경북] 이철우 도지사, 포항 죽장면 특별재난지역 조기선포 건의",2021.09.01.,http://www.newsprime.co.kr/news/article.html?no=551952,이강덕 포항시장 백신
경상매일신문,"포항시, 코로나 극복 유공자에 감사패",2021.08.26.,http://www.ksmnews.co.kr/default/index_view_page.php?idx=347573&part_idx=170,이강덕 포항시장 백신
중앙일보,"[경북의 심장] ""바이오·배터리 등 산업 생태계 다변화 통해 차별화된 경쟁력...",C2면 1단,https://www.joongang.co.kr/article/25001560,이강덕 포항시장 백신
뉴스웨이,"포항시, 코로나19 극복 유공자에 감사패 전달",2021.08.27.,http://www.newsway.co.kr/news/view?tp=1&ud=2021082717333989230,이강덕 포항시장 백신
일요신문,[포항시정] 2021 경상북도 전국드론축구대회 개최 外,2021.08.16.,https://ilyo.co.kr/?ac=article_view&entry_id=409468,이강덕 포항시장 백신
데일리벳,"대한수의사회, 이강덕 포항시장 만나 광견병·구제역 백신 확대개선 요청",2021.06.17.,http://www.dailyvet.co.kr/news/association/149096,이강덕 포항시장 백신
위키트리,포항시 75세 이상 어르신 백신접종 3개월간의 대장정 마무리,2021.06.29.,https://www.wikitree.co.kr/articles/664125,이강덕 포항시장 백신
경상매일신문,"이강덕 포항시장, 안전한 백신접종 시행 ‘역량 집중’",2021.03.11.,http://www.ksmnews.co.kr/default/index_view_page.php?idx=327208&part_idx=7,이강덕 포항시장 백신
경북일보,"이강덕 포항시장, 백신 접종현장 참관…""효과 극대화에 힘 모아야""",2021.02.28.,http://www.kyongbuk.co.kr/news/articleView.html?idxno=2069556,이강덕 포항시장 백신
뉴스핌,포항시 10일부터 예비군·민방위 대상자 얀센 백신 접종 시작,2021.06.10.,http://www.newspim.com/news/view/20210610000130,이강덕 포항시장 백신
경북신문,이강덕 포항시장 ˝차질없는 백신 접종 적극 당부˝,2021.02.25.,http://www.kbsm.net/default/index_view_page.php?idx=303562&part_idx=320,이강덕 포항시장 백신
위키트리,"이강덕 포항시장 AZ백신 접종 현장 참관, “안전·안심 접종” 당부",2021.02.26.,https://www.wikitree.co.kr/articles/623557,이강덕 포항시장 백신
위키트리,포항시 60세 이상 27일부터 백신 접종시작,2021.05.25.,https://www.wikitree.co.kr/articles/652106,이강덕 포항시장 백신
프레시안,이강덕 포항시장 ‘민생방역 안정화 대책’ 발표,2021.02.04.,https://www.pressian.com/pages/articles/2021020416574367069?utm_source=naver&utm_medium=search,이강덕 포항시장 백신
