키워드,언론사,기사명,날짜,URL
YTN,'백신 사각지대' 아동·청소년 확진 두 달 만에 4배↑...대책은?,2021-09-11,https://www.ytn.co.kr/_ln/0103_202109110434579234,청소년백신부작용
조선일보,청소년 확진 두달새 4배… 전문가 “위드 코로나 천천히 가야”,A12면 1단,https://www.chosun.com/national/welfare-medical/2021/09/10/QCWH64FVVVCRPDKTON7HPMLEXM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,청소년백신부작용
하이닥,심낭염? 심근염?...백신 접종 전에 알아두자! 흉부외과 전문의 서동주 과장의...,2021-09-10,http://www.hidoc.co.kr/healthstory/news/C0000633339,청소년백신부작용
YTN사이언스,"[사이언스 취재파일] 소아·청소년, 4분기 접종 시행…전 세계 상황은?",2021-09-10,https://science.ytn.co.kr/program/program_view.php?s_mcd=0082&s_hcd=0032&key=202109091624294085,청소년백신부작용
YTN사이언스,[사이언스 HOT5] 백신 오접종 사고 전국에서 잇따라…9월 둘째 주 과학 이슈,2021-09-10,https://science.ytn.co.kr/program/program_view.php?s_mcd=0082&s_hcd=0034&key=202109101614518730,청소년백신부작용
JTBC,중학생·임신부도 백신 맞는다…언제 어떤 백신 맞나?,2021.08.30.,https://news.jtbc.joins.com/article/article.aspx?news_id=NB12021905,청소년백신부작용
뉴스1,10월부터 12~17세 화이자 접종…백신 부작용 괜찮을까,2021.08.31.,https://www.news1.kr/articles/?4419130,청소년백신부작용
한겨레,소아·청소년 4분기 접종 추진…효과·안전성 논란 가열되나,6면 1단,https://www.hani.co.kr/arti/society/health/1009781.html,청소년백신부작용
의약뉴스,"일진그룹 이상일 회장, 고려대학교의료원 백신 개발에 1억 기부 外",2021-09-10,http://www.newsmp.com/news/articleView.html?idxno=217637,청소년백신부작용
오마이뉴스,중학생 우리 아이 백신 맞아도 될까?,2021.08.31.,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002770822&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,청소년백신부작용
파이낸셜뉴스,"10월부터 만 12~17세, 임신부 백신 접종 부작용 없을까?",2021.08.31.,http://www.fnnews.com/news/202108310804553870,청소년백신부작용
YTN,[팩트와이] 12살까지 접종 확대...부작용보다 예방 효과 더 크다?,2021-09-04,https://www.ytn.co.kr/_ln/0103_202109040555450705,청소년백신부작용
국민일보,어린이 코로나 환자만 500만명…“백신 미접종자 대면 치료 안해”,2021-09-08,http://news.kmib.co.kr/article/view.asp?arcid=0016247811&code=61131111&cp=nv,청소년백신부작용
MBN,"'12~17세 접종' 청소년들 우려…교사들 ""접종, 미접종 학생 나뉠 수도""",2021-09-08,http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=4587217,청소년백신부작용
한국일보,'부작용' vs '사회 전체 이익'... 영국 청소년 백신 접종 갑론을박,3면 1단,https://hankookilbo.com/News/Read/A2021090713300004586?did=NA,청소년백신부작용
서울경제,"""12세 아들에 백신 못 맞춘다"" 소송 낸 아버지···加법원 판단은",2021-09-04,https://www.sedaily.com/NewsView/22RC0PMCED,청소년백신부작용
KBS,[지구촌 IN] 지구촌 등교 재개…아동·청소년 백신 접종 논란,2021-09-07,https://news.kbs.co.kr/news/view.do?ncd=5274044&ref=A,청소년백신부작용
뉴스1,"EMA, 화이자 백신 '다발성염증증후군' 부작용 보고 조사",2021-09-04,https://www.news1.kr/articles/?4424239,청소년백신부작용
KBS,청년은 코로나보다 백신이 더 위험할까? 전문가에게 물었습니다,2021.08.26.,https://news.kbs.co.kr/news/view.do?ncd=5265267&ref=A,청소년백신부작용
쿠키뉴스,"""12~17세 접종, 백신 부작용 괜찮을까요?""",2021.09.01.,http://www.kukinews.com/newsView/kuk202108310206,청소년백신부작용
뉴시스,'6~8인까지 허용' 백신 인센티브…40대 이하 접종 늘까,2021.09.03.,http://www.newsis.com/view/?id=NISX20210903_0001571069&cID=10201&pID=10200,청소년백신부작용
EBS,4분기 중고생 백신 접종‥안전성은?,2021.09.02.,http://news.ebs.co.kr/ebsnews/allView/60098135/N,청소년백신부작용
이데일리,[조성진 박사의 엉뚱한 뇌 이야기] 코로나 백신 부작용의 과학적 실체,2021-09-04,http://www.edaily.co.kr/news/newspath.asp?newsid=01361206629176840,청소년백신부작용
시사IN,"백신접종 전방위 압박, 독일의 새로운 방역정책",2021.09.02.,https://www.sisain.co.kr/news/articleView.html?idxno=45390,청소년백신부작용
뉴스1,"기저질환 12~15세, 화이자 접종후 부작용 3일내 소멸",2021.08.28.,https://www.news1.kr/articles/?4417059,청소년백신부작용
문화일보,2040 백신 접종 5명중 1명 불과,10면 1단,http://www.munhwa.com/news/view.html?no=2021083101071009043001,청소년백신부작용
메디컬투데이,"EMA, 코로나19 백신의 희귀 염증 부작용 조사 예정",2021-09-05,http://www.mdtoday.co.kr/mdtoday/index.html?no=429175,청소년백신부작용
채널A,“아이들 몸무게 키 다 다른데”…백신 접종에 불안한 부모들,2021.08.31.,http://www.ichannela.com/news/main/news_detailPage.do?publishId=000000264394,청소년백신부작용
하이닥,“예약일은 다가오고 불안감은 점점 커지고”…백신 접종 Q&A,2021-09-05,http://www.hidoc.co.kr/healthstory/news/C0000631645,청소년백신부작용
VOA,"미 텍사스, 임신 6주 중절 금지...코로나 백신 접종 증가",2021.09.01.,https://www.voakorea.com/world/america-now/texas-six-week-abortion-ban-takes-effect,청소년백신부작용
MBC,"미, 화이자 백신 내주 전면 승인…모더나 부작용 조사 착수",2021.08.21.,https://imnews.imbc.com/news/2021/world/article/6295095_34880.html,청소년백신부작용
금강일보,'코로나 백신 부작용' 교원 불안감 상승,2021.09.02.,http://www.ggilbo.com/news/articleView.html?idxno=866962,청소년백신부작용
조선일보,12~17세 청소년 화이자 맞을듯,A10면 1단,https://www.chosun.com/national/welfare-medical/2021/09/02/NAMJUZ7ICVCVLPNBLZGR3T34VQ/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,청소년백신부작용
YTN,"美, 모더나 부작용 조사 착수…""30세 이하 남성 심근염 위험 검토""",2021.09.02.,https://www.ytn.co.kr/_ln/0104_202109021647013108,청소년백신부작용
뉴스1,"AZ잔여백신 접종 3040 확대 논란…""이익 크다"" vs ""오락가락""",2021.08.18.,https://www.news1.kr/articles/?4406532,청소년백신부작용
뉴스1,"12~17세·임신부 백신접종 고심중…""구체적인 임상결과 있어야""",2021.09.01.,https://www.news1.kr/articles/?4420323,청소년백신부작용
에너지경제,"미 CDC ""젊은층 화이자 백신 심근염 부작용, 사망자는 없었다""…청소년 접종 ...",2021.08.31.,https://www.ekn.kr/web/view.php?key=20210831010005150,청소년백신부작용
국민일보,"태아 걱정에 백신 미접종 美 임신부, 코로나 확진 후 사망",2021.08.25.,http://news.kmib.co.kr/article/view.asp?arcid=0016202029&code=61131511&cp=nv,청소년백신부작용
뉴시스,"독일 예방접종위, 12~17세 청소년에도 백신 접종 권고",2021.08.17.,http://www.newsis.com/view/?id=NISX20210817_0001549705&cID=10101&pID=10100,청소년백신부작용
아시아경제,개학 맞은 학교·학원가 코로나 '비상'…아동·청소년 백신은 언제쯤?,2021.08.27.,https://view.asiae.co.kr/article/2021082611264880377,청소년백신부작용
동아사이언스,미FDA 코로나19 백신 정식승인 눈앞…백신 접종 확대 기대감,2021.08.23.,https://www.dongascience.com/news/view/48882,청소년백신부작용
의학신문,"독감 NIP/코로나19 백신 동시 접종, '괜찮을까?'",2021.09.02.,http://www.bosa.co.kr/news/articleView.html?idxno=2157699,청소년백신부작용
이투데이,‘위드코로나’엔 트윈데믹 우려…올해는 코로나·독감 백신 동시 접종,2021.09.01.,https://www.etoday.co.kr/news/view/2058684,청소년백신부작용
농업경제신문,"EMA, 화이자 백신 다계통염증증후군 부작용 조사...mRNA 백신 관련성 아직",2021-09-05,http://www.thekpm.com/view.php?ud=20210905095533828642ef4e12e4_17,청소년백신부작용
MBC,"""영국 12세 이상 곧 백신접종…학교접종 때 부모동의 불필요""",2021.08.26.,https://imnews.imbc.com/news/2021/world/article/6296331_34880.html,청소년백신부작용
이투데이,올해 ‘위드코로나’ 가능할까…“백신수급ㆍ방역수칙 완화 기준 중요”,2021.09.01.,https://www.etoday.co.kr/news/view/2058682,청소년백신부작용
머니투데이,"美정부, 백신 접종완료 후 부스터샷 '8→6개월' 단축추진",2021.08.26.,http://news.mt.co.kr/mtview.php?no=2021082605310999564,청소년백신부작용
뉴스핌,"美 FDA, 화이자 백신 정식 승인..""접종 의무화 확대""",2021.08.24.,http://www.newspim.com/news/view/20210824000002,청소년백신부작용
이데일리,"美, 화이자 백신 정식승인 후…12세 미만 접종 ‘뜨거운 감자’",2021.08.25.,http://www.edaily.co.kr/news/newspath.asp?newsid=02079526629150928,청소년백신부작용
세계일보,백신 접종 시작한 18~49세 알아둬야 할 사항은?,2021.08.26.,http://www.segye.com/content/html/2021/08/26/20210826505872.html?OutUrl=naver,청소년백신부작용
시사저널,"외면받던 AZ 잔여백신, 순식간에 '0'…이유는?",2021.08.19.,http://www.sisajournal.com/news/articleView.html?idxno=223040,청소년백신부작용
조선일보,"화이자 백신 맞은 다음날, 모유 색이 변했다?",2021.08.21.,https://www.chosun.com/national/welfare-medical/2021/08/21/GQBT6T2QIRBSVJ2WGDWBSEZMBY/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,청소년백신부작용
전라일보,소아·청소년 백신접종 믿음이 먼저다,2021-09-06,http://www.jeollailbo.com/news/articleView.html?idxno=636485,청소년백신부작용
매경헬스,"日, 모더나 백신 용기 고무 파편 유입으로 접종 중단",2021.08.30.,http://www.mkhealth.co.kr/news/articleView.html?idxno=54660,청소년백신부작용
TBS,[외신으로 배우는 영어] 4. 부작용을 겪다,2021.08.17.,http://tbs.seoul.kr/news/newsView.do?typ_800=4&idx_800=3446111&seq_800=20438688,청소년백신부작용
약업신문,"모더나, ‘코로나19 백신 정식승인 신청절차 매듭",2021.08.26.,http://www.yakup.com/news/index.html?mode=view&cat=16&nid=260500,청소년백신부작용
세계일보,"영국, 내달 12세 이상 코로나 백신 접종…보건부 “아직 미결정”",2021.08.27.,http://www.segye.com/content/html/2021/08/27/20210827503608.html?OutUrl=naver,청소년백신부작용
시사위크,"대웅제약, 학교 밖 청소년에 해열진통제 기부",2021.08.26.,http://www.sisaweek.com/news/articleView.html?idxno=146789,청소년백신부작용
한국경제,"정은경 ""백신 부스터샷, 4분기부터 시행""",A33면 1단,https://www.hankyung.com/it/article/2021082618011,청소년백신부작용
메디칼타임즈,소아청소년 백신 접종 돌입…심장 부작용 우려 괜찮을까?,2021.08.18.,http://www.medicaltimes.com/Users/News/NewsView.html?mode=view&ID=1142355&REFERER=NP,청소년백신부작용
매일일보,[코로나19 비상] 추석 전 백신 1차 접종 70% 달성 관건은 '젊은층',2021.08.24.,http://www.m-i.kr/news/articleView.html?idxno=855079,청소년백신부작용
UPI뉴스,'위드 코로나'로 전환하는 백신 선진국…한국은 언제쯤,2021.08.30.,http://www.upinews.kr/newsView/upi202108300115,청소년백신부작용
헬스조선,"수능 때문에 코로나 백신 맞은 고3, 부작용 얼마나 겪었나?",2021.08.15.,https://health.chosun.com/site/data/html_dir/2021/08/13/2021081301270.html,청소년백신부작용
데일리팜,HPV백신 NIP '17세 이하 남아' 적용 필요성 대두,2021.08.28.,http://www.dailypharm.com/Users/News/NewsView.html?ID=279734&REFERER=NP,청소년백신부작용
이데일리,[주목! e기술] 코로나19 백신 긴급사용승인과 정식승인 차이,2021.08.14.,http://www.edaily.co.kr/news/newspath.asp?newsid=01341526629147320,청소년백신부작용
중앙일보,"美 “모더나, 30세 이하 남성 심근염 부작용 가능성"" 조사중",2021.08.20.,https://news.joins.com/article/olink/23726934,청소년백신부작용
인천일보,18∼49세 백신 접종 현재 예약률 64% 목표치 미달 정부 고심,2021.08.22.,http://www.incheonilbo.com/news/articleView.html?idxno=1109474,청소년백신부작용
세계일보,"EMA, ‘다형홍반 등 화이자·모더나 백신과 연관성 검토",2021.08.12.,http://www.segye.com/content/html/2021/08/12/20210812510287.html?OutUrl=naver,청소년백신부작용
메디게이트뉴스,코로나19 백신 맞은 청소년 심근염·심낭염 발생?…10년간 자연발생 꾸준히 증...,2021.08.20.,http://www.medigatenews.com/news/3712852192,청소년백신부작용
아시아경제,"10대 남아, 화이자 백신 심근염 부작용에 취약…""대규모 연구 필요""",2021.08.12.,https://view.asiae.co.kr/article/2021081207260495977,청소년백신부작용
월간암,AZ 백신 접종 후 해열진통제 먹어도 백신 효과 있다,2021.08.31.,http://www.cancerline.co.kr/html/23886.html,청소년백신부작용
SBS Biz,"독일 예방접종위, 12∼17세 청소년 코로나19백신 접종 권고",2021.08.16.,https://biz.sbs.co.kr/article_hub/20000027301?division=NAVER,청소년백신부작용
매일일보,[코로나19 비상] 전세계 '백신 보릿고개' 더 짙어진다,2021.08.24.,http://www.m-i.kr/news/articleView.html?idxno=853332,청소년백신부작용
금강일보,[종합] 화이자 부작용 점점 늘어나..EMA 평가 시작,2021.08.21.,http://www.ggilbo.com/news/articleView.html?idxno=864065,청소년백신부작용
한국정경신문,화이자 전면승인 코앞 VS 모더나 부작용 조사 착수..백신 관련 이슈 들썩,2021.08.22.,http://kpenews.com/View.aspx?No=2009038,청소년백신부작용
동아사이언스,고3 화이자 백신 접종 후 이상반응 다른 연령대와 비슷…어지러움＞두통＞ 메...,2021.08.16.,https://www.dongascience.com/news/view/48740,청소년백신부작용
의협신문,"화이자 백신 접종 후 부작용 호소 환자, 개원가 대처법은? ",2021.08.12.,http://www.doctorsnews.co.kr/news/articleView.html?idxno=140606,청소년백신부작용
금강일보,모더나 부작용 뭐가 있을까?,2021.08.17.,http://www.ggilbo.com/news/articleView.html?idxno=863604,청소년백신부작용
메디칼타임즈,"FDA, 코로나 백신 정식승인…화이자 백신 첫 사례",2021.08.25.,http://www.medicaltimes.com/Users/News/NewsView.html?mode=view&ID=1142520&REFERER=NP,청소년백신부작용
뉴스핌,"[구멍난 방역] ④""마스크 벗고 학교 가고 싶어요""…아이들 백신 접종은 언제?",2021.08.20.,http://www.newspim.com/news/view/20210820000219,청소년백신부작용
연합뉴스TV,"""뉴욕 즐기려면 백신을""…박물관·경기장도 접종 의무화",2021.08.17.,http://www.yonhapnewstv.co.kr/MYH20210817010600038/?did=1825m,청소년백신부작용
약업신문,모더나 ‘코로나19’ 백신 英서 12~17세 접종 승인,2021.08.18.,http://www.yakup.com/news/index.html?mode=view&cat=16&nid=260219,청소년백신부작용
e대한경제,“10월 집단면역” 빨라진 文의 시계… 백신수급ㆍ부작용ㆍ오접종 ‘과제’,2021.08.16.,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202108161325210240209,청소년백신부작용
월간암,AZ 백신 접종 후 해열진통제 먹어도 백신 효과 있어,2021.08.30.,http://www.cancerline.co.kr/html/23837.html,청소년백신부작용
국민일보,"감염 급증, 위중증 속출… 힘받는 ‘소아청소년도 백신’",11면 1단,http://news.kmib.co.kr/article/view.asp?arcid=0924204138&code=11132000&cp=nv,청소년백신부작용
헤럴드경제,한교협 “고3 백신 부작용 대책 마련해야”,2021.07.20.,http://news.heraldcorp.com/view.php?ud=20210720000293,청소년백신부작용
가톨릭평화방송·평화신문,"[열린 인터뷰] 이재갑 ""방역 상황 바뀌었지만 백신 접종률 극대화해야""",2021.08.11.,http://www.cpbc.co.kr/CMS/news/view_body.php?cid=807534&path=202108,청소년백신부작용
UPI뉴스,'위드 코로나' 암초 되나…각국 어린이 감염 급증 '비상',2021-09-10,http://www.upinews.kr/newsView/upi202109100027,청소년백신부작용
세계일보,"“mRNA백신 심근염 부작용, 대부분 1∼2주 내 치유” [코로나 예방접종 안전 ...",A11면 1단,http://www.segye.com/content/html/2021/07/05/20210705513873.html?OutUrl=naver,청소년백신부작용
메디게이트뉴스,쿠바·이란·대만·인도 등 자체 개발 코로나19 백신 임상 3상 돌입 동시에 배...,2021.08.20.,http://www.medigatenews.com/news/1545902678,청소년백신부작용
Queen,"화이자 접종한 청소년 '심낭염·심근염' 부작용 … 전문가 ""저절로 낫는 병""",2021.07.05.,http://www.queen.co.kr/news/articleView.html?idxno=363459,청소년백신부작용
퍼블릭뉴스,"[빅테크 풍향계] 모더나?화이자 백신, 청소년에게 과연 안전한가?",2021.07.05.,http://psnews.co.kr/View.aspx?No=1846689,청소년백신부작용
머니S,"'청소년, 화이자 백신 맞고 심장 염증' 美 보고… 국내 전문가 ""저절로 낫는다...",2021.07.06.,http://moneys.mt.co.kr/news/mwView.php?no=2021070517458087579,청소년백신부작용
