키워드,언론사,기사명,날짜,URL
파이낸셜뉴스,안양시 제3회 추경예산안 1조9410억 제출,2021.08.29.,http://www.fnnews.com/news/202108291457059062,최대호 안양시장 백신
뉴스1,"안양시, 1조 9410억원 규모 추가경정예산 편성…'코로나19 극복 중점'",2021.08.27.,https://www.news1.kr/articles/?4416508,최대호 안양시장 백신
국제뉴스,"동아오츠카, 코로나19 백신접종자 '포카리스웨트' 지원",2021.08.19.,http://www.gukjenews.com/news/articleView.html?idxno=2290313,최대호 안양시장 백신
신아일보,"안양, 제3회 추경 예산안 1조9410억원 편성",2021.08.30.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1453890,최대호 안양시장 백신
국제뉴스,"최대호 안양시장 ""고3학생 백신접종 순조롭게 진행 중""",2021.07.21.,http://www.gukjenews.com/news/articleView.html?idxno=2271618,최대호 안양시장 백신
파이낸셜뉴스,최대호 안양시장 “백신홍보대사 돼주세요”,2021.07.15.,http://www.fnnews.com/news/202107150032255703,최대호 안양시장 백신
헤럴드경제,최대호 안양시장 “백신 홍보대사가 돼 주세요”,2021.07.14.,http://news.heraldcorp.com/view.php?ud=20210714000966,최대호 안양시장 백신
이데일리,최대호 안양시장 “종교시설 종사자 백신 우선 접종 건의할 것”,2021.06.23.,http://www.edaily.co.kr/news/newspath.asp?newsid=03198006629084672,최대호 안양시장 백신
기호일보,최대호 안양시장 '민선7기 3년' 성과와 비전,2021.07.07.,http://www.kihoilbo.co.kr/news/articleView.html?idxno=936290,최대호 안양시장 백신
국제뉴스,"최대호 안양시장 ""집단면역 위해 백신접종 필수""",2021.05.26.,http://www.gukjenews.com/news/articleView.html?idxno=2231044,최대호 안양시장 백신
열린뉴스통신,"최대호 안양시장, 코로나18 백신접종·방역지원 전직원에 '사랑의 손 편지' 발...",2021.05.02.,http://www.onews.tv/news/articleView.html?idxno=70513,최대호 안양시장 백신
이뉴스투데이,"최대호 안양시장, ""우리 시 백신 접종률 전국 최다…공직자 여러분의 힘입니다...",2021.04.30.,http://www.enewstoday.co.kr/news/articleView.html?idxno=1475173,최대호 안양시장 백신
