키워드,언론사,기사명,날짜,URL
프레시안,류태호 태백시장 코로나19 백신접종 준비 최종 점검,2021.04.01.,https://www.pressian.com/pages/articles/2021040118141957506?utm_source=naver&utm_medium=search,태백시 류태호 백신
유교신문,"태백시, 화이자 백신 1,200명분 추가 확보",2021.04.28.,http://www.cfnews.kr/news.aspx/47230,태백시 류태호 백신
국제뉴스,"태백시, 화이자 백신 1,200명분 추가 확보",2021.04.27.,http://www.gukjenews.com/news/articleView.html?idxno=2211936,태백시 류태호 백신
위클리오늘,"태백시, 류태호 시장 '고3학년생 코로나 예방접종센터 방문 격려'",2021.07.21.,http://www.weeklytoday.com/news/articleView.html?idxno=388045,태백시 류태호 백신
쿠키뉴스,"태백시, 75세 이상 화이자 백신 첫 접종...16일 류태호 시장 접종",2021.04.15.,http://www.kukinews.com/newsView/kuk202104150149,태백시 류태호 백신
유교신문,"태백시 삼수동 마을방역관, 마을방역 및 백신접종 홍보",2021.07.23.,http://www.cfnews.kr/news.aspx/50212,태백시 류태호 백신
뉴스핌,태백시 3분기 코로나19 백신 접종,2021.07.12.,http://www.newspim.com/news/view/20210712000771,태백시 류태호 백신
유교신문,"류태호 태백시장, 고3학년생 코로나 예방접종센터 방문 격려",2021.07.22.,http://www.cfnews.kr/news.aspx/50175,태백시 류태호 백신
유교신문,"류태호 태백시장, 시정 최일선 ‘태백시통장협의회와 탄탄데이트’",2021.04.23.,http://www.cfnews.kr/news.aspx/47107,태백시 류태호 백신
국제뉴스,"류태호 태백시장, 시정 최일선 '태백시통장협의회와 탄탄데이트'",2021.04.22.,http://www.gukjenews.com/news/articleView.html?idxno=2208729,태백시 류태호 백신
국제뉴스,"태백시, 3분기 코로나 19 백신 예방접종 본격 실시",2021.07.13.,http://www.gukjenews.com/news/articleView.html?idxno=2264663,태백시 류태호 백신
쿠키뉴스,"태백 이틀새 9명 확진...류태호 시장 ""가용인원 총동원 확산 차단""",2021.07.08.,http://www.kukinews.com/newsView/kuk202107080104,태백시 류태호 백신
유교신문,"태백시 장성동 통장협의회, 마을방역관 활동 실시",2021.07.27.,http://www.cfnews.kr/news.aspx/50263,태백시 류태호 백신
쿠키뉴스,"류태호 태백시장 ""감염병 차단 시민 동참 필수""",2021.07.07.,http://www.kukinews.com/newsView/kuk202107070003,태백시 류태호 백신
국제뉴스,"류태호 태백시장, 코로나19 백신 접종",2021.04.16.,http://www.gukjenews.com/news/articleView.html?idxno=2204522,태백시 류태호 백신
유교신문,"류태호 태백시장, 코로나19 백신 접종",2021.04.17.,http://www.cfnews.kr/news.aspx/46936,태백시 류태호 백신
프레시안,"태백시, 사회적 거리두기 개편 방역 상황 점검",2021.07.06.,https://www.pressian.com/pages/articles/2021070616554312519?utm_source=naver&utm_medium=search,태백시 류태호 백신
국제뉴스,"태백시문화재단, 제6회 한강‧낙동강 발원지 축제 비대면 개최",2021.07.22.,http://www.gukjenews.com/news/articleView.html?idxno=2272233,태백시 류태호 백신
신아일보,"류태호 태백시장, 코로나19 AZ백신 접종",2021.04.19.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1401472,태백시 류태호 백신
프레시안,"태백시, 코로나19 예방접종센터 기간제 근로자 채용",2021.07.13.,https://www.pressian.com/pages/articles/2021071316495646956?utm_source=naver&utm_medium=search,태백시 류태호 백신
경향신문,"태백시 중학생 코로나19 집단감염…""진폐증 환자 피해 없도록 강력조치""",2021.07.08.,https://www.khan.co.kr/national/health-welfare/article/202107081239001,태백시 류태호 백신
유교신문,"태백시, 7월1일 경로당 재개관",2021.07.02.,http://www.cfnews.kr/news.aspx/48768,태백시 류태호 백신
유교신문,"태백시, 코로나19 예방접종센터 기간제 근로자 채용 공고",2021.07.14.,http://www.cfnews.kr/news.aspx/50006,태백시 류태호 백신
쿠키뉴스,"태백시, 사회적거리두기 전면 1단계 적용...인원제한 해제",2021.07.01.,http://www.kukinews.com/newsView/kuk202107010298,태백시 류태호 백신
뉴시스,류태호 태백시장 아스트라제네카 백신 접종,2021.04.16.,http://www.newsis.com/view/?id=NISI20210416_0000728315,태백시 류태호 백신
유교신문,"태백시, 보육 교직원 코로나19 선제검사 실시",2021.06.17.,http://www.cfnews.kr/news.aspx/48410,태백시 류태호 백신
쿠키뉴스,"태백시, 관내 보육교직원 201명 코로나 19 선제검사",2021.06.16.,http://www.kukinews.com/newsView/kuk202106160166,태백시 류태호 백신
강원일보,[태백]태백시 코로나 백신 예방접종 최종 점검,14면 2단,http://www.kwnews.co.kr/nview.asp?aid=221040400060,태백시 류태호 백신
유교신문,"태백시, 안식의집을 시작으로... 코로나19 백신접종 시작",2021.03.03.,http://www.cfnews.kr/news.aspx/44757,태백시 류태호 백신
쿠키뉴스,"강원도시군의회의장협의회 태백서 개최...류태호 시장 ""도민 행복 실현 희망""",2021.04.15.,http://www.kukinews.com/newsView/kuk202104150087,태백시 류태호 백신
프레시안,"태백시, '잔인한 5월'…13일 사회적 거리두기 2단계",2021.05.13.,https://www.pressian.com/pages/articles/2021051314240244090?utm_source=naver&utm_medium=search,태백시 류태호 백신
유교신문,"태백시, 3월 예방백신 접종 시행",2021.02.24.,http://www.cfnews.kr/news.aspx/43609,태백시 류태호 백신
뉴스핌,태백시 도내 최초 코로나19 백신 냉동고 구입,2021.02.03.,http://www.newspim.com/news/view/20210203000521,태백시 류태호 백신
신아일보,"태백시, 코로나19 백신 접종 시작",2021.03.04.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1383865,태백시 류태호 백신
프레시안,"태백시, 보건소 선별진료소 단축 운영",2021.04.28.,https://www.pressian.com/pages/articles/2021042814163406306?utm_source=naver&utm_medium=search,태백시 류태호 백신
국제뉴스,"태백시, 다문화가정에 '코로나 19 예진표' 외국어 서비스 제공",2021.04.14.,http://www.gukjenews.com/news/articleView.html?idxno=2202422,태백시 류태호 백신
