키워드,언론사,기사명,날짜,URL
위키트리,"전남 순천시, 독감 국가예방접종 지원사업 지역협의체 회의 개최",2021-09-07,https://www.wikitree.co.kr/articles/686109,허석 순천시장 백신
내외뉴스통신,"순천시, 시민과 함께하는 '사랑의 헌혈' 실시",2021-09-07,http://www.nbnnews.co.kr/news/articleView.html?idxno=610967,허석 순천시장 백신
뉴스메이커,"순천시, 로우카본과 1500억원 규모 투자협약",2021.08.30.,http://www.newsmaker.or.kr/news/articleView.html?idxno=121380,허석 순천시장 백신
아시아경제,"순천시, ㈜로우카본과 1500억원 규모 투자협약…200여명 고용창출",2021.08.27.,https://view.asiae.co.kr/article/2021082714343253223,허석 순천시장 백신
시사매거진,"순천시, ㈜로우카본과 1,500억원 규모 투자협약...200여명 고용창출",2021.08.28.,http://www.sisamagazine.co.kr/news/articleView.html?idxno=370513,허석 순천시장 백신
NSP통신,"순천시, 코로나19 위기 극복 생명나눔 사랑의 헌혈 실시",2021.08.12.,http://www.nspna.com/news/?mode=view&newsid=520336,허석 순천시장 백신
전국매일신문,"허석 순천시장, 고3 수험생 백신접종 현장 방문 응원",2021.07.22.,http://www.jeonmae.co.kr/news/articleView.html?idxno=848647,허석 순천시장 백신
쿠키뉴스,"허석 순천시장, 고3 수험생 코로나 백신접종 현장방문 응원",2021.07.21.,http://www.kukinews.com/newsView/kuk202107210170,허석 순천시장 백신
시사매거진,"허석 순천시장, '나눔백신, 순천형 권분(權分)운동'으로 거버넌스지방정치대상...",2021.06.03.,http://www.sisamagazine.co.kr/news/articleView.html?idxno=359647,허석 순천시장 백신
아주경제,순천에서 코로나19 예방백신 효과 입증,2021.05.18.,http://www.ajunews.com/view/20210518174754699,허석 순천시장 백신
뉴스메이커,"순천시, 코로나19 백신 접종 대상자 마스크 배부 外",2021.04.26.,http://www.newsmaker.or.kr/news/articleView.html?idxno=114770,허석 순천시장 백신
내외뉴스통신,"순천시, 코로나19 백신 접종 대상자에게 마스크 배부",2021.04.23.,http://www.nbnnews.co.kr/news/articleView.html?idxno=492952,허석 순천시장 백신
LG헬로비전,"순천·여수·목포, 75세 이상 화이자 백신 접종 시작",2021.04.01.,http://news.lghellovision.net/news/newsView.do?soCode=SCE0000000&idx=306569,허석 순천시장 백신
뉴스워커,"순천시 코로나19 백신접종, 요양시설 관계자부터 접종 시작",2021.02.26.,http://www.newsworker.co.kr/news/articleView.html?idxno=104066,허석 순천시장 백신
베타뉴스,"순천시, 코로나 예방접종센터 그림 전시회로 마음치유까지",2021.03.29.,http://www.betanews.net:8080/article/1259640.html,허석 순천시장 백신
브릿지경제,"순천시 독감 백신 추가 확보, 유료 접종 사전예약 접수",2020.11.04.,http://www.viva100.com/main/view.php?key=20201104010001104,허석 순천시장 백신
시사매거진,"허석 순천시장, 코로나19 대응에 헌신한 영웅들에게 '존경과 감사' 전해",2021.07.02.,http://www.sisamagazine.co.kr/news/articleView.html?idxno=363309,허석 순천시장 백신
위키트리,"허석 순천시장, 코로나19 대응에 헌신한 ‘영웅들과 정겨운 담소’ 가져",2021.07.04.,https://www.wikitree.co.kr/articles/665718,허석 순천시장 백신
전국매일신문,"[민선7기 3주년] 허석 순천시장 ""30만 자족도시, 느리더라도 29만 시민과 함께...",2021.06.30.,http://www.jeonmae.co.kr/news/articleView.html?idxno=845603,허석 순천시장 백신
아시아타임즈,"[6일 순천시 소식] 허석 시장, 호우 피해 현장 긴급점검 등",2021.07.06.,https://www.asiatime.co.kr/article/20210706500187,허석 순천시장 백신
뉴스워커,"허석 순천시장, ""30만 자족도시, 느리더라도 29만 순천시민과 함께!""",2021.06.29.,http://www.newsworker.co.kr/news/articleView.html?idxno=120247,허석 순천시장 백신
아시아타임즈,[29일 순천시 소식] '취임 3년' 허석 시장 시정운영방향 언론브리핑 등,2021.06.29.,https://www.asiatime.co.kr/article/20210629500200,허석 순천시장 백신
노컷뉴스,"허석 순천시장 ""지난 3년 성과? 해묵은 과제 '사이다' 해결""",2021.06.24.,https://www.nocutnews.co.kr/news/5577122,허석 순천시장 백신
아시아타임즈,[2일 순천시 소식] 허석 시장 코로나19 시민영웅과 대화 등,2021.07.02.,https://www.asiatime.co.kr/article/20210702500233,허석 순천시장 백신
아시아경제,"순천시, 코로나19 백신 18세?49세 12만명 접종 실시",2021.08.02.,https://view.asiae.co.kr/article/2021080214431827368,허석 순천시장 백신
프라임경제,[브리핑 순천] 코로나19 백신 자율접종 개시,2021.07.27.,http://www.newsprime.co.kr/news/article.html?no=549528,허석 순천시장 백신
CNB뉴스,"순천시, 코로나19 백신 자율접종 개시",2021.07.26.,http://www.cnbnews.com/news/article.html?no=503526,허석 순천시장 백신
내외뉴스통신,"허석 순천시장, 권분운동으로 거버넌스지방정치대상 수상",2021.06.02.,http://www.nbnnews.co.kr/news/articleView.html?idxno=507224,허석 순천시장 백신
베타뉴스,"허석 순천시장, 코로나19 대응 브리핑 ‘사회적 거리두기 2단계로 격상’",2021.05.13.,http://www.betanews.net:8080/article/1264657.html,허석 순천시장 백신
광주매일신문,순천시 ‘코로나19 영웅’들과 정겨운 담소,2021.07.05.,http://www.kjdaily.com/article.php?aid=1625486763550457008,허석 순천시장 백신
뉴스메이커,"순천시, 장애인식개선 권분운동 첫 발걸음 외",2021.07.18.,http://www.newsmaker.or.kr/news/articleView.html?idxno=119878,허석 순천시장 백신
프레시안,코로나19 극복 행동백신 된 '순천시 권분(勸分)운동',2021.06.01.,https://www.pressian.com/pages/articles/2021060111020333441?utm_source=naver&utm_medium=search,허석 순천시장 백신
뉴스1,"""순천시 권분운동은 코로나 극복 위한 대한민국 '행동백신'""",2021.05.31.,https://www.news1.kr/articles/?4323709,허석 순천시장 백신
뉴스1,순천시 65∼74세 백신 접종 시작…사전예약률 71.84%,2021.05.27.,https://www.news1.kr/articles/?4320238,허석 순천시장 백신
뉴스프리존,"순천시, 장마철 수인성·식품매개 감염병 주의 당부",2021.07.01.,http://www.newsfreezone.co.kr/news/articleView.html?idxno=323804,허석 순천시장 백신
시사매거진,"허석 순천시장, 경전선 전철화 사업 입장 발표",2021.02.25.,http://www.sisamagazine.co.kr/news/articleView.html?idxno=347206,허석 순천시장 백신
쿠키뉴스,"허석 순천시장, 현장 행정 통해 현안사업 속도",2021.02.25.,http://www.kukinews.com/newsView/kuk202102250195,허석 순천시장 백신
전국매일신문,"[전매TV] '확진세 소강' 순천시, 사회적 거리두기 1단계로",2021.05.24.,http://www.jeonmae.co.kr/news/articleView.html?idxno=840951,허석 순천시장 백신
뉴스워커,"순천시, 사회적 거리두기 1단계 완화",2021.05.23.,http://www.newsworker.co.kr/news/articleView.html?idxno=114985,허석 순천시장 백신
BBS NEWS,"허석 순천시장 ""포스트 코로나 시대, 실물 경제 회복에 주력""",2021.02.03.,https://news.bbsi.co.kr/news/articleView.html?idxno=3020787,허석 순천시장 백신
뉴스메이커,"순천시, 코로나19 백신 접종 모의훈련 外",2021.03.29.,http://www.newsmaker.or.kr/news/articleView.html?idxno=113234,허석 순천시장 백신
뉴스워커,"순천시, 코로나19 백신 안전접종... '관·학·군·경 통합경계지원태세 업무협...",2021.03.18.,http://www.newsworker.co.kr/news/articleView.html?idxno=106473,허석 순천시장 백신
뉴스워커,"순천시, 6월 13일까지 사적모임 6인까지 허용",2021.05.31.,http://www.newsworker.co.kr/news/articleView.html?idxno=115975,허석 순천시장 백신
CNB뉴스,"순천시, 6월 13일까지 사적모임 6인까지 허용",2021.05.30.,http://www.cnbnews.com/news/article.html?no=494027,허석 순천시장 백신
시사매거진,"순천시, 코로나19 백신 안전접종 관·학·군·경 통합경계지원태세 업무협약",2021.03.20.,http://www.sisamagazine.co.kr/news/articleView.html?idxno=350426,허석 순천시장 백신
뉴스웨이,"순천대학교 약학대학, 설립 10주년 기념 심포지엄 개최",2021.05.28.,http://www.newsway.co.kr/news/view?tp=1&ud=2021052800284421687,허석 순천시장 백신
뉴스워커,"순천시, 코로나19 화이자 백신 접종 앞서 '모의훈련' 실시",2021.03.26.,http://www.newsworker.co.kr/news/articleView.html?idxno=107579,허석 순천시장 백신
노컷뉴스,순천·여수·광양 등 전남 동부권 거리두기 완화,2021.05.23.,https://www.nocutnews.co.kr/news/5557226,허석 순천시장 백신
에너지경제,"순천시, 75세 이상 화이자 백신접종 시작",2021.04.02.,https://www.ekn.kr/web/view.php?key=20210402010000403,허석 순천시장 백신
뉴스워커,"순천대학교 약학대학, 설립 10주년 기념 심포지엄 개최",2021.05.25.,http://www.newsworker.co.kr/news/articleView.html?idxno=115327,허석 순천시장 백신
국민일보,"순천시, 75세 이상 화이자 백신 접종 앞두고 모의훈련",2021.03.28.,http://news.kmib.co.kr/article/view.asp?arcid=0015679354&code=61121111&cp=nv,허석 순천시장 백신
시사매거진,"순천시, 4월 1일부터 75세 이상 화이자 백신 접종",2021.03.25.,http://www.sisamagazine.co.kr/news/articleView.html?idxno=351031,허석 순천시장 백신
위키트리,"순천시, 4월 1일부터 75세 이상 화이자 백신 접종",2021.03.23.,https://www.wikitree.co.kr/articles/631003,허석 순천시장 백신
매일일보,"순천시, 4월 1일부터 75세 이상 화이자 백신 접종",2021.03.22.,http://www.m-i.kr/news/articleView.html?idxno=809660,허석 순천시장 백신
LG헬로비전,"순천시, 코로나19 백신 통합경계지원 업무협약",2021.03.19.,http://news.lghellovision.net/news/newsView.do?soCode=SCE0000000&idx=305251,허석 순천시장 백신
