키워드,언론사,기사명,날짜,URL
매일신문,"또 백신 맞고 '소장 괴사'…""건강했던 동생 살려달라"" 靑 청원",2021-09-19,https://news.imaeil.com/page/view/2021091918465497771,백신 국민청원
머니S,"""백신 맞고 소장 괴사… 동생 살려달라"" 국민청원 등장",2021-09-19,http://moneys.mt.co.kr/news/mwView.php?no=2021091816558041179,백신 국민청원
머니투데이,"[단독]25세 여성 백신접종 후 '뇌출혈'…父 ""내가 접종 강요했는데""",2021-09-19,http://news.mt.co.kr/mtview.php?no=2021091911065282299,백신 국민청원
한국경제,"""건강했던 조카, 화이자 접종 후 중환자실 입원""…청원 등장",2021-09-18,https://www.hankyung.com/society/article/2021091721437,백신 국민청원
데일리안,"20대 女 두명, 화이자 접종 후 뇌출혈…""백신 부작용 책임져야""",2021-09-19,https://www.dailian.co.kr/news/view/1034696/?sc=Naver,백신 국민청원
국민일보,"“7식구 가장인 남편, 백신 맞고 폐·간·신장 기능 잃어”",2021-09-18,http://news.kmib.co.kr/article/view.asp?arcid=0016280829&code=61121911&cp=nv,백신 국민청원
조선비즈,"“20대 여성 2명, 화이자 백신 맞고 뇌출혈” 주장",2021-09-17,https://biz.chosun.com/topics/topics_social/2021/09/16/GGYUTVLZLVHANJGVPALQ43EP3Y/?utm_source=naver&utm_medium=original&utm_campaign=biz,백신 국민청원
조선일보,“백신 부작용 환자는 안 본다” 끝내 의사는 청진기를 들지 않았다,B4면 1단,https://www.chosun.com/national/weekend/2021/09/18/ENHUXLVKWJCHBCP6PLJ3DWS72I/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,백신 국민청원
국제뉴스,"20대 여성, 화이자 백신 부작용 호소 ""뇌출혈로 의식 없어""",2021-09-18,http://www.gukjenews.com/news/articleView.html?idxno=2311795,백신 국민청원
YTN,백신 접종 후 생리불순 호소 잇따라...미국 15만 건·영국 3만 건,2021-09-18,https://www.ytn.co.kr/_ln/0104_202109170631385357,백신 국민청원
국제뉴스,"20대 여성, 화이자 백신 부작용 호소 ""뇌출혈로 의식 없어""",2021-09-18,http://www.gukjenews.com/news/articleView.html?idxno=2311795,백신 국민청원
