키워드,언론사,기사명,날짜,URL
머니투데이,"[단독]25세 여성 백신접종 후 '뇌출혈'…父 ""내가 접종 강요했는데""",2021-09-19,http://news.mt.co.kr/mtview.php?no=2021091911065282299,백신 부작용
매일신문,"또 백신 맞고 '소장 괴사'…""건강했던 동생 살려달라"" 靑 청원",2021-09-19,https://news.imaeil.com/page/view/2021091918465497771,백신 부작용
뉴시스,백신접종 후 언제쯤? 진통제 먹었다면?…헌혈 A~Z,2021-09-19,http://www.newsis.com/view/?id=NISX20210919_0001588952&cID=10201&pID=10200,백신 부작용
텐아시아,"간미연, 백신 부작용?…""모더나 맞고 허리 통증"" [TEN★]",2021-09-19,https://tenasia.hankyung.com/topic/article/2021091957214,백신 부작용
매일경제,“친구가 백신 맞고 성불구”...美 팝스타 주장에 백악관도 ‘발칵’,2021-09-18,http://news.mk.co.kr/newsRead.php?no=897896&year=2021,백신 부작용
뉴스1,오늘부터 백신 미접종자 사전예약 실시…10월부터 접종,2021-09-19,https://www.news1.kr/articles/?4438805,백신 부작용
데일리안,"20대 女 두명, 화이자 접종 후 뇌출혈…""백신 부작용 책임져야""",2021-09-19,https://www.dailian.co.kr/news/view/1034696/?sc=Naver,백신 부작용
한국경제,"美 FDA 위원회 ""화이자 부스터샷 반대…부작용·효능 대비 실익 안 커""",2021-09-19,https://www.hankyung.com/international/article/202109184644i,백신 부작용
헤럴드경제,“백신 접종 후 소장 괴사로 사경 헤매는 동생 살려주세요” 국민청원,2021-09-19,http://news.heraldcorp.com/view.php?ud=20210918000051,백신 부작용
머니투데이,"美 FDA자문위, 부스터샷 거절한 이유...30세미만 男 부작용 우려",2021-09-19,http://news.mt.co.kr/mtview.php?no=2021091810550486489,백신 부작용
한국경제,"美 FDA 위원회 ""화이자 부스터샷 반대…부작용·효능 대비 실익 안 커""",2021-09-19,https://www.hankyung.com/international/article/202109184644i,백신 부작용
파이낸셜뉴스,코로나 백신 맞고 성불구왔다? 미국 팝스타 주장 논란,2021-09-18,http://www.fnnews.com/news/202109170742155410,백신 부작용
YTN,백신 접종 후 생리불순 호소 잇따라...미국 15만 건·영국 3만 건,2021-09-18,https://www.ytn.co.kr/_ln/0104_202109170631385357,백신 부작용
쿠키뉴스,"화이자 백신 284만3000회분, 20일 새벽 인천공항 도착",2021-09-19,http://www.kukinews.com/newsView/kuk202109190026,백신 부작용
마이데일리,"""심박수 190, 이상합니다""…'추사랑 父' 추성훈, 코로나19 백신 후유증 호소 ...",2021-09-19,http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202109192150496372&ext=na&utm_campaign=naver_news&utm_source=naver&utm_medium=related_news,백신 부작용
뉴스1,"교차접종 후 사경 40대 여성…의료진 ""백신 인과성""에 당국은 ""아니다""",2021-09-19,https://www.news1.kr/articles/?4438052,백신 부작용
메디컬투데이,"코로나19 백신, 생리 주기 변화 부작용?",2021-09-19,http://www.mdtoday.co.kr/mdtoday/index.html?no=430314,백신 부작용
헤럴드경제,“백신 접종 후 소장 괴사로 사경 헤매는 동생 살려주세요” 국민청원,2021-09-19,http://news.heraldcorp.com/view.php?ud=20210918000051,백신 부작용
뉴시스,"""단 1명이라도 빨리 맞아야"" 추석에도 백신 접종 '분주'",2021-09-19,http://www.newsis.com/view/?id=NISX20210918_0001588880&cID=10809&pID=10800,백신 부작용
조선비즈,12~17살 백신 접종 4분기 시작…정부 “강제·유도하지 않을 것”,2021-09-15,https://biz.chosun.com/it-science/bio-science/2021/09/14/MFXG5YLAV5D4ZGNP727UKQLHYA/?utm_source=naver&utm_medium=original&utm_campaign=biz,백신 부작용
파이낸셜뉴스,"화이자 ""부스터샷 부작용, 2차 접종 때와 비슷""",2021-09-17,http://www.fnnews.com/news/202109160218378862,백신 부작용
오마이뉴스,10대 아이들 백신 접종 분석해 보니... 영국의 보고서 [한소정의 이슈s],2021-09-18,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002774407&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,백신 부작용
한겨레,"WHO 과학자들은 “일반인, 백신 부스터샷 필요 없다” 논쟁 중",2021-09-15,https://www.hani.co.kr/arti/international/international_general/1011609.html,백신 부작용
스포츠경향,니키 미나즈 “백신 때문에 성불구” 괴담 파장 일으키고 말 바꿔 논란,2021-09-19,http://sports.khan.co.kr/news/sk_index.html?art_id=202109182319003&sec_id=540101&pt=nv,백신 부작용
YTN,"홍콩, 10대 화이자 백신 2차 접종 중단…""심장염 30명""",2021-09-17,https://www.ytn.co.kr/_ln/0104_202109161705019624,백신 부작용
한국경제,"AZ·화이자 백신 교차 접종…""며칠째 코피가 안 멈춰요""",2021-09-16,https://www.hankyung.com/life/article/2021091589707,백신 부작용
국제뉴스,"20대 여성, 화이자 백신 부작용 호소 ""뇌출혈로 의식 없어""",2021-09-18,http://www.gukjenews.com/news/articleView.html?idxno=2311795,백신 부작용
이데일리,"간호사 딸 “父, AZ 백신 접종 후 대장 괴사” 靑청원",2021-09-15,http://www.edaily.co.kr/news/newspath.asp?newsid=02273046629180120,백신 부작용
위키트리,“머리가 어지럽고…” 화이자 백신 접종 10분 만에 응급실에 실려간 사연 (사...,2021-09-19,https://www.wikitree.co.kr/articles/690707,백신 부작용
뉴스1,고향길 꽉막힌 도로…최근 백신 접종자라면 장시간 운전 피해야,2021-09-19,https://www.news1.kr/articles/?4438699,백신 부작용
오피니언뉴스,"미국, 코로나19 백신 정치화 영향···접종률 G7 '꼴찌'",2021-09-19,http://www.opinionnews.co.kr/news/articleView.html?idxno=55466,백신 부작용
머니투데이,"""삐 소리나고 머리아파""…20대 여성 2명이 백신 맞고 뇌출혈",2021-09-17,http://news.mt.co.kr/mtview.php?no=2021091621064910430,백신 부작용
동아일보,정부 “12~17세 백신 접종 강제하지 않을 것”,A2면 1단,https://www.donga.com/news/article/all/20210915/109260391/1,백신 부작용
중앙일보,환자 못받고 백신전쟁 치를때…정부 '접종률 70%' 자화자찬[뉴스원샷],2021-09-19,https://www.joongang.co.kr/article/25008258,백신 부작용
아시아경제,"건강한 10대男, '백신 부작용'이 '코로나 감염률'보다 4~6배 높다",2021-09-14,https://view.asiae.co.kr/article/2021091321020352395,백신 부작용
