키워드,언론사,기사명,날짜,URL
국민일보,백신 접종 이후 사망 사흘간 32명…이상반응 신고 ↑,2021-09-19,http://news.kmib.co.kr/article/view.asp?arcid=0016284128&code=61121111&cp=nv,백신 사망
세계일보,"안철수 ""코로나19 백신 1차 접종률 강조, 국민 속이는 것""",2021-09-19,http://www.segye.com/content/html/2021/09/19/20210919504630.html?OutUrl=naver,백신 사망
한겨레,접종률 71% 대 1.9%…확 기울어진 백신의 세계,2021-09-19,https://www.hani.co.kr/arti/international/international_general/1012256.html,백신 사망
서울신문,화이자 접종 뒤 사망한 50대 가장의 딸 “억울한 죽음 원인 밝혀야”,2021-09-19,https://www.seoul.co.kr/news/newsView.php?id=20210918500004&wlog_tag3=naver,백신 사망
부산일보,[속보] 사흘간 백신 접종 후 신규사망 32명 추가…인과성 미확인,2021-09-19,http://www.busan.com/view/busan/view.php?code=2021091809355236090,백신 사망
파이낸셜뉴스,"美 CDC ""모더나 백신 입원 예방 효과 최고, 다음은 화이자-얀센""",2021-09-19,http://www.fnnews.com/news/202109181816021733,백신 사망
뉴시스,"백신 1차 접종 3607.5만명, 인구 대비 70.3%…완료율 42.7%(종합)",2021-09-19,http://www.newsis.com/view/?id=NISX20210918_0001588851&cID=10201&pID=10200,백신 사망
한국경제,"안철수 ""文, 코로나 백신 1차 접종률 강조는 국민을 속이는 것""",2021-09-19,https://www.hankyung.com/politics/article/2021091956337,백신 사망
더팩트,"코로나19 신규 확진, 주말 최다…백신 1차 접종률 71% 돌파(종합)",2021-09-19,http://news.tf.co.kr/read/life/1889090.htm,백신 사망
뉴스1,충북 코로나 백신 사망자 41명…화이자 23명 최다,2021-09-19,https://www.news1.kr/articles/?4438682,백신 사망
부산일보,[속보] 사흘간 백신 접종 후 신규사망 32명 추가…인과성 미확인,2021-09-19,http://www.busan.com/view/busan/view.php?code=2021091809355236090,백신 사망
노컷뉴스,경남 6개 시군 24명 추가 확진…1차 백신접종률 71.1%,2021-09-19,https://www.nocutnews.co.kr/news/5627610,백신 사망
TV조선,백신 미접종자 오늘부터 예약…다음달 화이자·모더나 접종,2021-09-19,http://news.tvchosun.com/site/data/html_dir/2021/09/18/2021091890022.html,백신 사망
파이낸셜뉴스,"美 CDC ""모더나 백신 입원 예방 효과 최고, 다음은 화이자-얀센""",2021-09-19,http://www.fnnews.com/news/202109181816021733,백신 사망
KBS,"코로나19 신규 확진 1,910명 ‘주말 최다’…백신 1차 접종률 71%",2021-09-19,https://news.kbs.co.kr/news/view.do?ncd=5283565&ref=A,백신 사망
YTN,"쿠바, 세계 최초로 2세 이상 코로나19 백신 접종 개시",2021-09-19,https://www.ytn.co.kr/_ln/0104_202109180240237288,백신 사망
뉴시스,"대구, 사우나發 집단감염 이어져…47명 신규 확진·1명 사망",2021-09-19,http://www.newsis.com/view/?id=NISX20210919_0001589051&cID=10810&pID=10800,백신 사망
경향신문,코로나19 백신 1차 접종률 70% 돌파···접종 시작 203일 만,2021-09-18,https://www.khan.co.kr/national/health-welfare/article/202109171735001,백신 사망
파이낸셜뉴스,울산서 40대 남성 백신 2차 접종 후 3일만에 사망,2021-09-17,http://www.fnnews.com/news/202109161511599867,백신 사망
뉴시스,"대구, 사우나發 집단감염 71명 신규 확진…1명 사망",2021-09-19,http://www.newsis.com/view/?id=NISX20210918_0001588751&cID=10810&pID=10800,백신 사망
MBN,"신규확진 2,087명…""백신 접종률 80% 향해""",2021-09-19,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4599593,백신 사망
뉴시스,"대구, 코로나19 사망자 2명 발생…38명 신규 확진",2021-09-18,http://www.newsis.com/view/?id=NISX20210917_0001587790&cID=10810&pID=10800,백신 사망
KBS,"코로나19 신규 확진자 2,087명…백신 1차 접종률 70.3%",2021-09-19,https://news.kbs.co.kr/news/view.do?ncd=5283343&ref=A,백신 사망
한겨레,"화이자·모더나 “코로나 백신 효능, 시간 지날수록 떨어져”",2021-09-17,https://www.hani.co.kr/arti/international/international_general/1011966.html,백신 사망
한겨레,백신 안맞은 500만명 17일부터 예약,8면 -1단,https://www.hani.co.kr/arti/society/health/1012040.html,백신 사망
TV조선,"울산 40대 대기업 직원, 화이자 2차 접종 사흘 뒤 사망",2021-09-17,http://news.tvchosun.com/site/data/html_dir/2021/09/16/2021091690072.html,백신 사망
경향신문,내일부터 2차 접종도 잔여백신 예약으로 앞당겨 맞을 수 있다,2021-09-17,https://www.khan.co.kr/national/health-welfare/article/202109161435001,백신 사망
파이낸셜뉴스,"방역당국 ""오늘 백신 1차 접종률 70% 달성"" 자신감",2021-09-18,http://www.fnnews.com/news/202109171117154400,백신 사망
매일신문,안동서 모더나 백신 맞은 40대 숨져… 관계 당국 조사 중,2021-09-16,https://news.imaeil.com/Society/2021091517051518765,백신 사망
파이낸셜뉴스,"베트남, 쿠바 백신 승인",2021-09-19,http://www.fnnews.com/news/202109190520390514,백신 사망
한국경제,"AZ·화이자 백신 교차 접종…""며칠째 코피가 안 멈춰요""",2021-09-16,https://www.hankyung.com/life/article/2021091589707,백신 사망
머니S,국민 10명 중 '7.1명' 코로나 백신 1차 접종… 신규 확진자 1910명,2021-09-19,http://moneys.mt.co.kr/news/mwView.php?no=2021091909388088933,백신 사망
아시아경제,"FDA ""코로나 백신 부스터샷 결론 못내""",2021-09-17,https://view.asiae.co.kr/article/2021091603155629663,백신 사망
