키워드,언론사,기사명,날짜,URL
MBC,"'1차 접종 70%' 달성‥""잔여백신 2차 접종 가능""",2021-09-19,https://imnews.imbc.com/replay/2021/nwtoday/article/6301659_34943.html,정부 백신대책
연합뉴스TV,"""내년 상반기 상용화""…국산 백신 어디까지 왔나",2021-09-19,http://www.yonhapnewstv.co.kr/MYH20210919001800641/?did=1825m,정부 백신대책
이데일리,추석연휴 전날 백신1차 접종 전국민 70% 달성,2021-09-19,http://www.edaily.co.kr/news/newspath.asp?newsid=01289046629181760,정부 백신대책
경향신문,코로나19 백신 1차 접종률 70% 돌파···접종 시작 203일 만,2021-09-18,https://www.khan.co.kr/national/health-welfare/article/202109171735001,정부 백신대책
아시아경제,"코로나 백신 1차 접종, 203일만에 70% 돌파",4면 1단,https://view.asiae.co.kr/article/2021091707563524837,정부 백신대책
KBS,잔여백신으로 이틀새 35만여 명 접종 완료…“완료자 혜택 지속적 확대”,2021-09-19,https://news.kbs.co.kr/news/view.do?ncd=5283664&ref=A,정부 백신대책
TV조선,"""추석 전 2차 접종 당기자""…시들했던 잔여백신 다시 인기",2021-09-18,http://news.tvchosun.com/site/data/html_dir/2021/09/17/2021091790088.html,정부 백신대책
YTN,"[현장영상] 김부겸 ""잔여백신, 오늘부터는 '2차 접종자'도 맞을 수 있도록""",2021-09-18,https://www.ytn.co.kr/_ln/0101_202109170846191111,정부 백신대책
서울신문,오늘도 2000명대 확진자…백신 1차 접종률 70% 돌파,2021-09-19,https://www.seoul.co.kr/news/newsView.php?id=20210918500009&wlog_tag3=naver,정부 백신대책
부산일보,"[속보] 김 총리 ""오늘 중 전 국민 70% 백신 1차 접종 달성…잔여백신 2차 접종...",2021-09-18,http://www.busan.com/view/busan/view.php?code=2021091708372723180,정부 백신대책
KBS,"백신 1차 접종률, 전 국민 70% 돌파…“추석 연휴가 유행 고비”",2021-09-19,https://news.kbs.co.kr/news/view.do?ncd=5283270&ref=A,정부 백신대책
