키워드,언론사,기사명,날짜,URL
KBS,국내 치매 환자 증가세에 질병관리청 “코호트 연구 추진”,2021-09-18,https://news.kbs.co.kr/news/view.do?ncd=5282692&ref=A,질병관리청
뉴시스,백신 살펴보는 정은경 질병청장,2021-09-18,http://www.newsis.com/view/?id=NISI20210917_0017959245,질병관리청
노컷뉴스,"정은경 질병관리청장, 명절 대비 오송역 임시선별검사소 점검",2021-09-18,https://www.nocutnews.co.kr/news/5627319,질병관리청
뉴스1,백신 접종 현황 점검 나선 정은경 질병청장,2021-09-18,https://www.news1.kr/photos/view/?4979187,질병관리청
뉴스토마토,"개청 1주년 맞이한 질병관리청…""국민 건강지킴이 역할 충실히 할 것""",2021-09-14,http://www.newstomato.com/ReadNews.aspx?no=1073490&inflow=N,질병관리청
충청일보,"질병관리청 ""A형간염 지속 발생""",2021-09-16,https://www.ccdailynews.com/news/articleView.html?idxno=2082476,질병관리청
세계일보,“현행 거리두기 ‘엉망진창’”…정은경 질병청장 선배들의 ‘쓴 소리’,2021-09-18,http://www.segye.com/content/html/2021/09/17/20210917505461.html?OutUrl=naver,질병관리청
비즈니스포스트,"유은혜 정은경, 교육부 질병관리청 함께 소아청소년 백신 접종 논의",2021-09-13,https://www.businesspost.co.kr/BP?command=article_view&num=249982,질병관리청
교수신문,"울산과학대 간호학부, 질병관리청 서포터즈 활동의 일환으로 '감염병 예방 캠...",2021-09-17,http://www.kyosu.net/news/articleView.html?idxno=76860,질병관리청
ZDNet Korea,"개청 1주년 질병관리청 ""방역대응에 함께 해주신 국민께 감사”",2021-09-14,https://zdnet.co.kr/view/?no=20210913141953,질병관리청
KBS,"질병관리청 “가을철, 농작업 등 야외활동시 진드기 주의”",2021.09.07.,https://news.kbs.co.kr/news/view.do?ncd=5274077&ref=A,질병관리청
MBC충북,"충북대 의대 교수 , 오송 질병관리청 앞 '위드코로나' 촉구 1인 시위",2021-09-18,http://www.mbccb.co.kr/rb/?r=home&c=73/79&mod=view&seq=0023&rvdate=20210917,질병관리청
라포르시안,"질병관리청, '#고마워백신' 온라인 캠페인 전개",2021-09-14,http://www.rapportian.com/news/articleView.html?idxno=138647,질병관리청
뉴스1,"유은혜 부총리, 질병관리청과 화상회의",2021-09-13,https://www.news1.kr/photos/view/?4968954,질병관리청
뉴스핌,"질병관리청, 인플루엔자 무료예방접종 9월 14일부터 실시",2021.09.06.,http://www.newspim.com/news/view/20210906000871,질병관리청
EBN,"정은경 질병관리청장 ""위드 코로나, 10월 말이면 가능""",2021.09.07.,https://www.ebn.co.kr/news/view/1499569/?sc=Naver,질병관리청
국민일보,[단독] ‘수당도 못 받았대’…질병관리청 1년째 ‘정원 미달’,2021.09.05.,http://news.kmib.co.kr/article/view.asp?arcid=0016239623&code=61121911&cp=nv,질병관리청
충청일보,"[사설] 질병관리청 승격 1년, 일신우일신하길",2021-09-15,https://www.ccdailynews.com/news/articleView.html?idxno=2082127,질병관리청
뉴스1,예결위 전체회의 참석한 정은경 질병관리청장,2021.09.07.,https://www.news1.kr/photos/view/?4960400,질병관리청
뉴스1,논의하는 정은경 질병관리청장·임재현 관세청장,2021.09.07.,https://www.news1.kr/photos/view/?4960074,질병관리청
뉴시스,중대본 자료 확인하는 정은경 질병관리청장,2021.09.05.,http://www.newsis.com/view/?id=NISI20210905_0017917022,질병관리청
월요신문,"계속되는 백신 오접종에…질병관리청, '점검 강화'",2021.09.06.,http://www.wolyo.co.kr/news/articleView.html?idxno=122372,질병관리청
디지틀조선TV,"평택시, 질병관리청 코로나19 확진자 집계 ‘주한미군 제외’ 요구",2021.09.10.,http://www.dizzotv.com/site/data/html_dir/2021/09/10/2021091080173.html,질병관리청
머니S,"이재명, 질병관리청 예산안 5조 편성 환영… ""팔 걷어붙이고 함께 할 것""",2021.09.05.,http://moneys.mt.co.kr/news/mwView.php?no=2021090512498083177,질병관리청
세계일보,"軍 '노마스크' 정책 검토 논란…""질병청과 협의 아직""",2021.08.29.,http://www.segye.com/content/html/2021/08/29/20210829506389.html?OutUrl=naver,질병관리청
뉴스투데이,[9월 14일 워크넷 채용정보] 오송첨단의료산업진흥재단·질병관리청·다솜초등...,2021-09-15,https://www.news2day.co.kr/article/20210914500161,질병관리청
뉴시스,"대전 성모병원, 감염병 예방 공로 '질병관리청장상' 수상",2021.08.26.,http://www.newsis.com/view/?id=NISX20210826_0001561113&cID=10807&pID=10800,질병관리청
파이낸셜뉴스,"질병관리청 '군 집단면역 정책 실험'...""국방부와 논의 없음"" 답변",2021.08.25.,http://www.fnnews.com/news/202108252136363179,질병관리청
스포츠조선,부천세종병원 '의료관련감염병 예방 우수' 질병청장상 수상,2021.09.05.,http://sports.chosun.com/news/ntype.htm?id=202109060100036160002190&servicedate=20210905,질병관리청
메디컬월드뉴스,"질병관리청, 국가손상정보포털 개시…손상 정보를 한 자리에",2021.09.10.,http://medicalworldnews.co.kr/news/view.php?idx=1510944700,질병관리청
데일리팜,질병관리청 2022년 예산안 5조1362억원 편성,2021.08.31.,http://www.dailypharm.com/Users/News/NewsView.html?ID=279835&REFERER=NP,질병관리청
한스경제,"질병관리청, ‘자기혈관 숫자 알기’…혈압·혈당·콜레스테롤 확인",2021.08.31.,https://www.sporbiz.co.kr/article/20210831570002,질병관리청
뉴스프리존,"이재명 ""질병관리청의 더 큰 역할, 매우 환영""",2021.09.06.,http://www.newsfreezone.co.kr/news/articleView.html?idxno=334369,질병관리청
동아일보,질병관리청 “5~7월 국내 확진자 중 93.4%가 백신 미접종자”,2021.08.23.,https://www.donga.com/news/article/all/20210823/108714408/2,질병관리청
월간조선,"'위드 코로나' 언제쯤? 정은경 질병관리청장 예상은 | ""전국 성인 인구의 80%...",2021.09.08.,http://monthly.chosun.com/client/mdaily/daily_view.asp?idx=13394&Newsnumb=20210913394,질병관리청
이데일리,"셀레믹스, 질병관리청과 8억원 코로나 유전체 분석계약",2021.09.06.,http://www.edaily.co.kr/news/newspath.asp?newsid=03184886629177496,질병관리청
문화일보,[단독]“文 지시로 軍 노 마스크 선제적 방역완화 질병청과 상의” 국방부 문...,2021.08.28.,http://www.munhwa.com/news/view.html?no=20210828MW085609129768,질병관리청
핀포인트뉴스,"신풍제약, “질병관리청 국내 경구용 코로나19치료제 긴급도입 가능성”…주가...",2021.09.11.,http://www.pinpointnews.co.kr/view.php?ud=202109111336539243c642673384_45,질병관리청
한국경제,"대동병원, 질병관리청 '의료관련 감염병 예방관리사업' 우수기관 표창",2021.08.26.,https://www.hankyung.com/society/article/202108260017h,질병관리청
조선비즈,"잔여백신 당일 예약, 질병관리청 ‘혁신 최우수사례’ 선정",2021.08.26.,https://biz.chosun.com/it-science/bio-science/2021/08/26/MXZF7I2HPVAJXLSDS2IWD432W4/?utm_source=naver&utm_medium=original&utm_campaign=biz,질병관리청
뉴스핌,"대한의사협회, 질병관리청 방문...코로나19 방역대책 논의",2021.08.31.,http://www.newspim.com/news/view/20210831001059,질병관리청
디스커버리뉴스,"질병관리청, 12~17세 소아청소년 및 임신부 접종 가능 심의",2021.08.30.,http://www.discoverynews.kr/news/articleView.html?idxno=634598,질병관리청
뉴시스,질의 답변하는 정은경 질병관리청장,2021.08.25.,http://www.newsis.com/view/?id=NISI20210825_0017875559,질병관리청
뉴스1,[인사]질병관리청,2021.09.02.,https://www.news1.kr/articles/?4422994,질병관리청
뉴시스,브리핑 하는 최종희 질병관리청 종합상황실장,2021.08.26.,http://www.newsis.com/view/?id=NISI20210826_0017880073,질병관리청
메디파나뉴스,"2021 국정감사, 내달 6일 복지부·질병청부터 스타트",2021.09.06.,http://medipana.com/news/news_viewer.asp?NewsNum=284633&MainKind=A&NewsKind=5&vCount=12&vKind=1,질병관리청
데일리메디,"정은경 질병청장 ""위드 코로나 전환, 10월말 예상""",2021.09.07.,http://www.dailymedi.com/detail.php?number=873941&thread=22r01,질병관리청
뉴시스,단상 오르는 정은경 질병청장,2021.08.26.,http://www.newsis.com/view/?id=NISI20210826_0017879777,질병관리청
뉴스1,생각에 잠긴 정은경 질병관리청장,2021.08.23.,https://www.news1.kr/photos/view/?4935828,질병관리청
글로벌에픽,"질병관리청, ‘자기혈관 숫자 알기-레드서클 캠페인’ 실시",2021.08.30.,http://www.globalepic.co.kr/view.php?ud=202108301454366602feed5f2b52_29,질병관리청
아시아경제,"질병관리청 ""아프간 협력자 391명, 공항서 코로나 검사 후 진천시설로""",2021.08.25.,https://view.asiae.co.kr/article/2021082521022556778,질병관리청
디지털타임스,"[이덕환 칼럼] 질병관리청,방역 중심에 다시 서야",22면 TOP,http://www.dt.co.kr/contents.html?article_no=2021090302102269073001&ref=naver,질병관리청
충남일보,"공주의료원, '의료관련감염병 예방관리사업 평가' 질병관리청장 표창 수여",2021.08.30.,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=620244,질병관리청
전북도민일보,남원의료원 질병관리청장 표창 수상,2021.08.23.,http://www.domin.co.kr/news/articleView.html?idxno=1351646,질병관리청
제주교통복지신문,"질병관리청 ""올해 첫 말라리아 매개모기 발견""",2021.08.21.,https://www.jejutwn.com/news/article.html?no=86186,질병관리청
아시아경제,백신 부작용 피해보상… 인플루엔자 등 他질병 판결 살펴보니,10면 1단,https://view.asiae.co.kr/article/2021082009502061244,질병관리청
충청일보,청 승격한 질병관리청 예산규모 417% 증가,2021.08.31.,https://www.ccdailynews.com/news/articleView.html?idxno=2079013,질병관리청
청년의사,예방접종 후 '질병‧장애' 인과성 없어도 보상 추진,2021.09.03.,http://www.docdocdoc.co.kr/news/articleView.html?idxno=2014170,질병관리청
금강일보,"공주의료원, 의료관련감염병 예방관리 질병관리청장 표창",2021.08.29.,http://www.ggilbo.com/news/articleView.html?idxno=865661,질병관리청
국제뉴스,"청주의료원, 2020년 의료관련감염병 예방ᐧ관리사업 질병관리청장 표창장 수상",2021.09.01.,http://www.gukjenews.com/news/articleView.html?idxno=2300215,질병관리청
뉴시스,"덴마크, 중대 질병에 코로나 제외…정은경 ""방역 정책 보완 내부 검토 중""",2021.08.30.,http://www.newsis.com/view/?id=NISX20210830_0001565234&cID=10201&pID=10200,질병관리청
노컷뉴스,대화하는 권덕철 보건복지부 장관-정은경 질병관리청장-김강립 식품안전처장,2021.08.25.,https://www.nocutnews.co.kr/news/5613258,질병관리청
내외뉴스통신,"정은경 질병관리청장, 오송역 임시선별검사소 현장 방문",2021-09-19,http://www.nbnnews.co.kr/news/articleView.html?idxno=616284,질병관리청
메디컬월드뉴스,예방접종 증명서 사칭 스미싱 사건…질병관리청 ‘주의’ 당부,2021.08.23.,http://medicalworldnews.co.kr/news/view.php?idx=1510944314,질병관리청
충청타임즈,질병관리청 예산 417억 배정 … 경구용 치료제 구입비 반영,2021.08.31.,http://www.cctimes.kr/news/articleView.html?idxno=671427,질병관리청
가톨릭평화방송·평화신문,"대전성모병원, 감염병 관리 우수기관으로 질병관리청장상 수상",2021.09.01.,http://www.cpbc.co.kr/CMS/newspaper/view_body.php?cid=808739&path=202109,질병관리청
제주교통복지신문,"질병관리청, 전 국민의 절반(50%), 코로나19 예방접종 1차접종 마쳐",2021.08.23.,http://www.jejutwn.com/news/article.html?no=86313,질병관리청
월간암,"아주대학교병원 감염관리실, 질병관리청장 표창 수상",2021.08.31.,http://www.cancerline.co.kr/html/23856.html,질병관리청
뉴시스,"신규확진 1910명, 주말 최다 기록…75일째 네자릿수",2021-09-19,http://www.newsis.com/view/?id=NISX20210919_0001589012&cID=10201&pID=10200,질병관리청
YTN,"접종간격 단축·잔여백신 활용...""10월까지 70% 접종 완료""",2021-09-19,https://www.ytn.co.kr/_ln/0103_202109190519089673,질병관리청
