키워드,언론사,기사명,날짜,URL
뉴시스,백신접종 후 언제쯤? 진통제 먹었다면?…헌혈 A~Z,2021-09-19,http://www.newsis.com/view/?id=NISX20210919_0001588952&cID=10201&pID=10200,해외 백신
더팩트,"코로나19 신규 확진, 주말 최다…백신 1차 접종률 71% 돌파(종합)",2021-09-19,http://news.tf.co.kr/read/life/1889090.htm,해외 백신
노컷뉴스,경남 6개 시군 24명 추가 확진…1차 백신접종률 71.1%,2021-09-19,https://www.nocutnews.co.kr/news/5627610,해외 백신
뉴스1,백신 1차 접종 70% 달성…우여곡절 끝 204일만의 대성과(종합),2021-09-18,https://www.news1.kr/articles/?4438781,해외 백신
조세일보,코로나19 신규확진 2087명…백신 접종 완료 42.7%,2021-09-19,http://www.joseilbo.com/news/news_read.php?uid=433625&class=33&grp=,해외 백신
KBS,"코로나19 신규 확진 1,910명 ‘주말 최다’…백신 1차 접종률 71%",2021-09-19,https://news.kbs.co.kr/news/view.do?ncd=5283565&ref=A,해외 백신
MBN,"신규확진 2,087명…""백신 접종률 80% 향해""",2021-09-19,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4599593,해외 백신
부산일보,[속보] 사흘간 백신 접종 후 신규사망 32명 추가…인과성 미확인,2021-09-19,http://www.busan.com/view/busan/view.php?code=2021091809355236090,해외 백신
뉴스1,"베트남, 국가주석 쿠바 방문 앞두고 압달라 백신 승인",2021-09-19,https://www.news1.kr/articles/?4439154,해외 백신
KBS,잔여백신으로 이틀새 35만여 명 접종 완료…“완료자 혜택 지속적 확대”,2021-09-19,https://news.kbs.co.kr/news/view.do?ncd=5283664&ref=A,해외 백신
MBN,"신규확진 2,087명…""백신 접종률 80% 향해""",2021-09-19,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4599593,해외 백신
뉴시스,"""단 1명이라도 빨리 맞아야"" 추석에도 백신 접종 '분주'",2021-09-19,http://www.newsis.com/view/?id=NISX20210918_0001588880&cID=10809&pID=10800,해외 백신
KBS,"코로나19 신규 확진자 2,087명…백신 1차 접종률 70.3%",2021-09-19,https://news.kbs.co.kr/news/view.do?ncd=5283343&ref=A,해외 백신
부산일보,[속보] 사흘간 백신 접종 후 신규사망 32명 추가…인과성 미확인,2021-09-19,http://www.busan.com/view/busan/view.php?code=2021091809355236090,해외 백신
머니S,국민 10명 중 '7.1명' 코로나 백신 1차 접종… 신규 확진자 1910명,2021-09-19,http://moneys.mt.co.kr/news/mwView.php?no=2021091909388088933,해외 백신
서울신문,오늘도 2000명대 확진자…백신 1차 접종률 70% 돌파,2021-09-19,https://www.seoul.co.kr/news/newsView.php?id=20210918500009&wlog_tag3=naver,해외 백신
MBC,"영국, 백신 맞으면 입국규제 대폭 완화…한국 접종도 인정",2021-09-19,https://imnews.imbc.com/news/2021/world/article/6301649_34880.html,해외 백신
한국경제TV,백신에서 다시 항암신약으로…ESMO 개막,2021-09-18,https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202109170126&t=NNv,해외 백신
