키워드,언론사,기사명,날짜,URL
뉴시스,"경남도 ""도민 70% 코로나19 백신 접종 완료""",2021-10-25,http://www.newsis.com/view/?id=NISX20211025_0001625985&cID=10812&pID=10800,고3 백신 접종
이데일리,"유은혜 “소아·청소년 백신접종, 학교 정상화에 보탬 될 것”",2021-10-25,http://www.edaily.co.kr/news/newspath.asp?newsid=03411206629216528,고3 백신 접종
뉴스1,위드코로나 앞두고 '학교 감염' 확산 우려…12~17세 접종률 0.6% 불과,2021-10-23,https://www.news1.kr/articles/?4470035,고3 백신 접종
뉴시스,국민 69.4% 코로나 백신접종 완료…70% 돌파 눈앞(종합),2021-10-24,http://www.newsis.com/view/?id=NISX20211023_0001624315&cID=10201&pID=10200,고3 백신 접종
김해뉴스,경남도민 70% 백신 접종 완료… 위드 코로나 추진,2021-10-26,http://www.gimhaenews.co.kr/news/articleView.html?idxno=43653,고3 백신 접종
연합뉴스TV,"16~17세 청소년·임신부 백신 접종…""맞으니 안심""",2021.10.18.,http://www.yonhapnewstv.co.kr/MYH20211018009000641/?did=1825m,고3 백신 접종
연합뉴스,"""생리불순 생기면 어떡하죠?""…청소년 코로나19 백신접종 Q&A",2021-10-19,http://yna.kr/AKR20211018127400530?did=1195m,고3 백신 접종
KBS,"코로나19 백신 접종 고3, 심근염·심낭염 10만 명당 3.6건 발생",2021-10-19,https://news.kbs.co.kr/news/view.do?ncd=5303250&ref=A,고3 백신 접종
한국일보,"청소년 백신 접종은 더 얇은 바늘로 ... 접종 첫날, 오접종 8건 발생",2021-10-19,https://hankookilbo.com/News/Read/A2021101816200001769?did=NA,고3 백신 접종
서울경제,"오늘부터 16~17세 백신 접종 시작, 12~15세는 사전예약",2021.10.18.,https://www.sedaily.com/NewsView/22SSDOIN45,고3 백신 접종
연합뉴스,"""생리불순 생기면 어떡하죠?""…청소년 코로나19 백신접종 Q&A",2021-10-19,http://yna.kr/AKR20211018127400530?did=1195m,고3 백신 접종
KBS,청소년 백신 접종 주의할 점은? 전문가에게 물었습니다,2021-10-19,https://news.kbs.co.kr/news/view.do?ncd=5303794&ref=A,고3 백신 접종
오마이뉴스,"[홍성] 16~17세, 백신 접종 시작... 60.3% 사전 예약",2021-10-19,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002780793&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,고3 백신 접종
연합뉴스,"백신접종 시작한 청소년들…""대면수업 많이 하고 싶어요""",2021.10.18.,http://yna.kr/AKR20211018090300530?did=1195m,고3 백신 접종
KBS,"코로나19 백신 접종 고3, 심근염·심낭염 10만 명당 3.6건 발생",2021-10-19,https://news.kbs.co.kr/news/view.do?ncd=5303250&ref=A,고3 백신 접종
YTN,청소년·임신부 백신 접종 시작...일부 '모더나' 오접종,2021-10-19,https://www.ytn.co.kr/_ln/0103_202110182007576932,고3 백신 접종
