키워드,언론사,기사명,날짜,URL
스카이데일리,“고3 코로나19 백신접종 부작용 자료 왜 공개 안하나요”,2021-10-19,http://www.skyedaily.com/news/news_view.html?ID=143219,백신 학부모 인권보호연대
뉴시스,[오늘의 주요일정]사회(10월20일 수요일),2021-10-20,http://www.newsis.com/view/?id=NISX20211019_0001619608&cID=10201&pID=10200,백신 학부모 인권보호연대
신동아,"“코로나 방역에서 놓친 소중한 인권, 연대, 경제”",2020.04.24.,https://shindonga.donga.com/3/all/13/2045364/1,백신 학부모 인권보호연대
오마이뉴스,"""퍼주기라고 반대하던 그 무상급식, 지금 세계의 자랑""",2021.04.02.,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002732117&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,백신 학부모 인권보호연대
프레시안,[신년 인터뷰] 최교진 세종시교육감 “지도력과 협력하는 능력 갖춘 사람으...,2021.02.02.,https://www.pressian.com/pages/articles/2021020200413775584?utm_source=naver&utm_medium=search,백신 학부모 인권보호연대
중도일보,"[신년인터뷰] 최교진 세종시교육감 ""코로나19에 학교 혁신 미래 봤다""",2021.01.10.,http://www.joongdo.co.kr/web/view.php?key=20210110010002813,백신 학부모 인권보호연대
아시아투데이,"[신년 인터뷰] 최교진 세종교육감 ""배움은 잠시라도 멈추지 않겠다""",2021.01.05.,https://www.asiatoday.co.kr/view.php?key=20210105010001831,백신 학부모 인권보호연대
뉴시스,"[신년인터뷰]최교진 세종시교육감 ""특색있는 교육 현장 변화 끌어낼 것""",2020.12.30.,http://www.newsis.com/view/?id=NISX20201229_0001287540&cID=10818&pID=10800,백신 학부모 인권보호연대
신동아,국제위러브유운동본부가 전하는 희망 메시지,2020.05.29.,https://shindonga.donga.com/3/all/13/2074525/1,백신 학부모 인권보호연대
YTN,[더뉴스-더인터뷰] 이태원 클럽 발 감염 일파만파...서울시 방역 대책은?,2020.05.14.,https://www.ytn.co.kr/_ln/0103_202005141452115125,백신 학부모 인권보호연대
오마이뉴스,개학의 전제 조건은 확진자 숫자 아닌 용기다,2020.03.23.,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002625024&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,백신 학부모 인권보호연대
오마이뉴스,개학의 전제 조건은 확진자 숫자 아닌 용기다,2020.03.23.,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002625024&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,백신 학부모 인권보호연대
오마이뉴스,개학의 전제 조건은 확진자 숫자 아닌 용기다,2020.03.23.,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002625024&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,백신 학부모 인권보호연대
오마이뉴스,개학의 전제 조건은 확진자 숫자 아닌 용기다,2020.03.23.,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002625024&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,백신 학부모 인권보호연대
오마이뉴스,개학의 전제 조건은 확진자 숫자 아닌 용기다,2020.03.23.,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002625024&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,백신 학부모 인권보호연대
오마이뉴스,개학의 전제 조건은 확진자 숫자 아닌 용기다,2020.03.23.,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002625024&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,백신 학부모 인권보호연대
오마이뉴스,개학의 전제 조건은 확진자 숫자 아닌 용기다,2020.03.23.,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002625024&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,백신 학부모 인권보호연대
오마이뉴스,개학의 전제 조건은 확진자 숫자 아닌 용기다,2020.03.23.,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002625024&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,백신 학부모 인권보호연대
