키워드,언론사,기사명,날짜,URL
스카이데일리,“고3 코로나19 백신접종 부작용 자료 왜 공개 안하나요”,2021-10-19,http://www.skyedaily.com/news/news_view.html?ID=143219,신민향
연합뉴스,"서울경찰청, 불법취업 외국인 39명 적발",1992.02.21.,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0003588691,신민향
스카이데일리,“고3 코로나19 백신접종 부작용 자료 왜 공개 안하나요”,2021-10-19,http://www.skyedaily.com/news/news_view.html?ID=143219,신민향
연합뉴스,"서울경찰청, 불법취업 외국인 39명 적발",1992.02.21.,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0003588691,신민향
스카이데일리,“고3 코로나19 백신접종 부작용 자료 왜 공개 안하나요”,2021-10-19,http://www.skyedaily.com/news/news_view.html?ID=143219,신민향
연합뉴스,"서울경찰청, 불법취업 외국인 39명 적발",1992.02.21.,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0003588691,신민향
스카이데일리,“고3 코로나19 백신접종 부작용 자료 왜 공개 안하나요”,2021-10-19,http://www.skyedaily.com/news/news_view.html?ID=143219,신민향
연합뉴스,"서울경찰청, 불법취업 외국인 39명 적발",1992.02.21.,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0003588691,신민향
스카이데일리,“고3 코로나19 백신접종 부작용 자료 왜 공개 안하나요”,2021-10-19,http://www.skyedaily.com/news/news_view.html?ID=143219,신민향
연합뉴스,"서울경찰청, 불법취업 외국인 39명 적발",1992.02.21.,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0003588691,신민향
스카이데일리,“고3 코로나19 백신접종 부작용 자료 왜 공개 안하나요”,2021-10-19,http://www.skyedaily.com/news/news_view.html?ID=143219,신민향
연합뉴스,"서울경찰청, 불법취업 외국인 39명 적발",1992.02.21.,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0003588691,신민향
스카이데일리,“고3 코로나19 백신접종 부작용 자료 왜 공개 안하나요”,2021-10-19,http://www.skyedaily.com/news/news_view.html?ID=143219,신민향
연합뉴스,"서울경찰청, 불법취업 외국인 39명 적발",1992.02.21.,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0003588691,신민향
스카이데일리,“고3 코로나19 백신접종 부작용 자료 왜 공개 안하나요”,2021-10-19,http://www.skyedaily.com/news/news_view.html?ID=143219,신민향
연합뉴스,"서울경찰청, 불법취업 외국인 39명 적발",1992.02.21.,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0003588691,신민향
스카이데일리,“고3 코로나19 백신접종 부작용 자료 왜 공개 안하나요”,2021-10-19,http://www.skyedaily.com/news/news_view.html?ID=143219,신민향
연합뉴스,"서울경찰청, 불법취업 외국인 39명 적발",1992.02.21.,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0003588691,신민향
