키워드,언론사,기사명,날짜,URL
국제뉴스,"제주교육학부모연대, ""인권위 다수 인권 억압, 해체돼야""",2021.10.11.,http://www.gukjenews.com/news/articleView.html?idxno=2325394,학부모 인권보호연대
뉴시스,[오늘의 주요일정]사회(10월20일 수요일),2021-10-20,http://www.newsis.com/view/?id=NISX20211019_0001619608&cID=10201&pID=10200,학부모 인권보호연대
스카이데일리,“고3 코로나19 백신접종 부작용 자료 왜 공개 안하나요”,2021-10-19,http://www.skyedaily.com/news/news_view.html?ID=143219,학부모 인권보호연대
프레시안,구사대 동원되고 뇌출혈로 쓰러지고...고등학생 '현장실습'의 역사,2021-10-20,https://www.pressian.com/pages/articles/2021101914510058745?utm_source=naver&utm_medium=search,학부모 인권보호연대
베리타스알파,대전서부교육지원청 장애학생 통합교육 및 인권보호 역량 강화 학부모 연수 개...,2021.06.22.,http://www.veritas-a.com/news/articleView.html?idxno=373256,학부모 인권보호연대
뉴스프리존,"대전서부교육지원청, 학부모 대상 '장애학생 통합교육, 인권보호 강화' 연수",2021.06.21.,http://www.newsfreezone.co.kr/news/articleView.html?idxno=322225,학부모 인권보호연대
참세상,학생 인권은 소중하다,2021.06.16.,http://www.newscham.net/news/view.php?board=news&nid=106037,학부모 인권보호연대
아시아타임즈,"[박창진 칼럼] 스포츠 인권 보호, 방안 마련이 절실하다",2021.05.25.,https://www.asiatime.co.kr/article/20210524500049,학부모 인권보호연대
스트레이트뉴스,"요즘것들연구소, 스승의날 맞아 교사인권보호법 '송경진법' 논의",2021.05.13.,http://www.straightnews.co.kr/news/articleView.html?idxno=105830,학부모 인권보호연대
한국교육신문,'교사인권보호' 포럼,2021.05.14.,http://www.hangyo.com/news/article.html?no=93802,학부모 인권보호연대
데일리굿뉴스,"학부모단체들, ‘선정적 아동 도서’ 규탄 시위…“조기 성관계 부추겨”",2021.06.03.,http://goodnews1.com/news/news_view.asp?seq=113816,학부모 인권보호연대
조선에듀,“공교육이 죽었다”…서울 학생인권종합계획 논란 ‘일파만파’,2021.04.06.,http://edu.chosun.com/site/data/html_dir/2021/04/06/2021040601855.html,학부모 인권보호연대
크리스천투데이,"“서울시교육청 제2기 학생인권종합계획, 전면 수정하라”",2021.04.02.,https://www.christiantoday.co.kr/news/339130,학부모 인권보호연대
민중의소리,[박귀천의 일과 법] 노동인권교육은 누구에게나 필요하다,2021.04.18.,https://www.vop.co.kr/A00001564063.html,학부모 인권보호연대
인천뉴스,"""공정한 의견 수렴 없는 인천시교육청의 '학교구성원인권조례' 철회해야""",2021.03.12.,http://www.incheonnews.com/news/articleView.html?idxno=401137,학부모 인권보호연대
크리스천투데이,청년들도 일어섰다… “학생인권종합계획안 폐지하라”,2021.03.11.,https://www.christiantoday.co.kr/news/338680,학부모 인권보호연대
중앙일보,동성애 옹호냐 인권보호냐…서울교육청 성소수자 교육 논란,2021.02.10.,https://news.joins.com/article/olink/23584288,학부모 인권보호연대
