국가,위중증,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일
미국🇺🇸,"13081
+210",1.7,81.9,110328,331002651,36449535,+144461,632647,+748,29834481,+28888
인도🇮🇳,8944,1.3,97.3,23141,1380004385,31902422,+40647,427565,+657,31055861,+40017
브라질🇧🇷,8318,2.8,93.8,94805,212559417,20108746,+42159,561807,+1006,18868602,+28370
러시아🇷🇺,2300,2.6,89.3,44026,145934462,6424884,+22320,164094,+793,5739838,+19485
프랑스🇫🇷,"1458
+38",1.8,91.8,96283,65273511,6258953,+25077,112158,+60,5743040,+10889
영국🇬🇧,"871
-10",2.2,76.5,89006,67886011,6014023,+31442,130178,+92,4599885,+14470
터키🇹🇷,543,0.9,93.5,69906,84339067,5870741,+23957,51976,+101,5491762,+6941
아르헨티나🇦🇷,"3657
-57",2.1,92.8,110912,45195774,5002951,+13549,107213,+190,4645158,+14722
콜롬비아🇨🇴,8155,2.5,95.9,95015,50882891,4828583,+6980,122087,+188,4632801,+8132
스페인🇪🇸,"1928
+3",1.8,82.5,98132,46754778,4588132,+21561,82006,+75,3784544,+10588
이탈리아🇮🇹,"277
+9",2.9,94.7,72619,60461826,4383787,+6599,128187,+24,4150915,+2936
이란🇮🇷,"6375
+96",2.3,85.3,49041,83992949,4119110,+26439,93473,+387,3515263,+22795
독일🇩🇪,"417
+24",2.4,96.6,45302,83783942,3793341,+2826,92271,+14,3664100,+1400
인도네시아🇮🇩,N/A,2.9,83.4,13306,273523615,3639616,+31753,105598,+1588,3036194,+39716
멕시코🇲🇽,4798,8.3,78.1,22991,128932753,2944226,+21563,243733,+568,2298074,+14535
폴란드🇵🇱,"44
+2",2.6,92.0,76202,37846611,2883976,+180,75285,+4,2654359,+135
남아프리카 공화국🇿🇦,546,3.0,90.8,42548,59308690,2511178,+13523,74352,+479,2280490,+12405
우크라이나🇺🇦,177,2.4,97.0,51657,43733762,2258532,+1054,53085,+20,2190686,+1393
페루🇵🇪,"1690
-18",9.3,N/A,64422,32971854,2122557,+1496,196818,+58,N/A,
네덜란드🇳🇱,"213
+3",0.9,N/A,109923,17134872,1883513,+2392,17867,+9,N/A,
이라크🇮🇶,"953
-15",1.1,89.2,42373,40222493,1704363,+7973,19146,+59,1520000,+9112
체코🇨🇿,11,1.8,98.0,156385,10708981,1674726,+149,30363,,1641904,+295
필리핀🇵🇭,2253,1.7,93.6,15051,109581078,1649341,+10996,28835,+162,1544443,+9068
칠레🇨🇱,"1223
-18",2.2,97.2,84876,19116201,1621571,+1182,35880,+74,1576801,+559
캐나다🇨🇦,"202
-29",1.9,97.5,38106,37742154,1437701,+1519,26654,+17,1401224,+642
방글라데시🇧🇩,"1389
+23",1.7,88.5,8157,164689383,1343396,+8136,22411,+261,1188820,+16383
말레이시아🇲🇾,"1097
+1",0.8,81.1,38431,32365999,1243852,+19257,10389,+210,1009343,+16323
