국가,치명(%),완치(%),발생률,인구수,치료중합계,치료중1일,위중증합계,위중증1일,확진자합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일
미국🇺🇸,1.6,79.2,148270,331002651,9416669,+5573,12438,+26778,49077695,+26778,799312,+174,38861714,+21031
인도🇮🇳,1.4,98.3,25052,1380004385,105691,-1328,8944,+8774,34572523,+8774,468554,+621,33998278,+9481
브라질🇧🇷,2.8,96.4,103862,212559417,174346,+3520,8318,+9233,22076863,+9233,614236,+236,21288281,+5477
영국🇬🇧,1.4,88.5,148932,67886011,1013851,+27,925,+39567,10110408,+39567,144724,+131,8951833,+39409
러시아🇷🇺,2.8,86.4,65580,145934462,1029507,+1678,2300,+33548,9570373,+33548,272755,+1224,8268111,+30646
터키🇹🇷,0.9,94.7,103444,84339067,389564,-1536,1405,+23759,8724400,+23759,76233,+192,8258603,+25103
프랑스🇫🇷,1.6,93.5,116255,65273511,370916,+28671,1563,+37218,7588400,+37218,118871,+34,7098613,+8513
이란🇮🇷,2.1,96.0,72731,83992949,116005,-6481,3347,+3781,6108882,+3781,129629,+80,5863248,+10182
독일🇩🇪,1.8,83.8,68743,83783942,829899,+19749,4202,+40481,5754967,+40481,101368,+132,4823700,+20600
아르헨티나🇦🇷,2.2,97.4,117833,45195774,19536,+160,593,+1521,5325560,+1521,116517,+12,5189507,+1349
스페인🇪🇸,1.7,95.8,109743,46754778,128771,,597,,5131012,,87955,,4914286,
콜롬비아🇨🇴,2.5,96.8,99506,50882891,31552,-60,342,+2620,5063177,+2620,128394,+51,4903231,+2629
이탈리아🇮🇹,2.7,93.7,82612,60461826,178946,+6328,624,+12869,4994891,+12869,133627,+90,4682318,+6451
인도네시아🇮🇩,3.4,96.4,15560,273523615,8214,-12,N/A,+264,4255936,+264,143808,+1,4103914,+275
멕시코🇲🇽,7.6,83.4,30115,128932753,350375,+671,4798,+2956,3882792,+2956,293859,+245,3238558,+2040
폴란드🇵🇱,2.4,85.5,92685,37846611,424479,-1681,1816,+20574,3507828,+20574,83037,+51,3000312,+22204
우크라이나🇺🇦,2.5,85.0,78247,43733762,426669,-3187,177,+7483,3422023,+7483,85117,+400,2910237,+10270
남아프리카 공화국🇿🇦,3.0,96.2,49884,59308690,21674,+1736,546,+3220,2958548,+3220,89791,+8,2847083,+1476
필리핀🇵🇭,1.7,97.7,25842,109581078,16630,-422,1023,+630,2831807,+630,48361,+156,2766816,+896
말레이시아🇲🇾,1.2,96.3,80936,32365999,67252,-295,510,+5097,2619577,+5097,30280,+40,2522045,+5352
네덜란드🇳🇱,0.7,N/A,151713,17134872,N/A,,546,+22133,2599579,+22133,19317,+45,N/A,
페루🇵🇪,9.0,N/A,67717,32971854,N/A,,954,+3008,2232749,+3008,201071,+84,N/A,
체코🇨🇿,1.5,85.9,198250,10708981,267434,-297,948,+12785,2123059,+12785,32837,+93,1822788,+12989
태국🇹🇭,1.0,95.3,30184,69799978,79252,-530,1595,+5854,2106813,+5854,20705,+30,2006856,+6354
이라크🇮🇶,1.1,98.2,51703,40222493,13530,-804,109,+538,2079622,+538,23793,+21,2042299,+1321
캐나다🇨🇦,1.7,96.9,47277,37742154,26396,+1369,480,+2183,1784354,+2183,29628,+10,1728330,+804
루마니아🇷🇴,3.2,94.5,92368,19237691,40732,-3487,1212,+1377,1776949,+1377,56275,+106,1679942,+4758
칠레🇨🇱,2.2,93.9,92037,19116201,68623,,674,,1757077,,38282,,1650172,
일본🇯🇵*,1.1,98.9,13659,126476461,725,-61,47,+72,1727504,+72,18370,,1708409,+133
벨기에🇧🇪,1.6,76.8,146824,11589623,367639,,669,,1701633,,26840,,1307154,
