한글(국가명),영문(블룸버그),1차접종,2차접종,발생률순위,2차접종률순위,확진자비율(인구),일별접종수,치명(%),완치(%),발생률,인구수,치료중합계,치료중1일,위중증합계,위중증1일,확진자합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일,백신접종수,백신보유율(인구)
미국,U.S.,69.7,59.1,17.0,70.0,0.14826979437092183,11.3,1.6,79.2,148270,331002651,9416669.0,5573.0,12438.0,26778.0,49077695,26778.0,799312,174.0,38861714.0,21031.0,454447740.0,136.9
인도,India,57.1,31.5,108.0,112.0,0.025052473293409136,-999.0,1.4,98.3,25052,1380004385,105691.0,-1328.0,8944.0,8774.0,34572523,8774.0,468554,621.0,33998278.0,9481.0,1222098400.0,89.4
브라질,Brazil,77.3,61.1,41.0,62.5,0.10386207918513439,5.8,2.8,96.4,103862,212559417,174346.0,3520.0,8318.0,9233.0,22076863,9233.0,614236,236.0,21288281.0,5477.0,297960450.0,141.8
영국,U.K.,76.2,69.3,16.0,37.0,0.14893212682654164,21.5,1.4,88.5,148932,67886011,1013851.0,27.0,925.0,39567.0,10110408,39567.0,144724,131.0,8951833.0,39409.0,114304730.0,171.1
러시아,Russia,44.9,37.8,75.0,98.5,0.06557993820541169,2.8,2.8,86.4,65580,145934462,1029507.0,1678.0,2300.0,33548.0,9570373,33548.0,272755,1224.0,8268111.0,30646.0,125544770.0,85.6
터키,Turkey,67.6,60.5,42.0,64.0,0.10344435040999446,16.3,0.9,94.7,103444,84339067,389564.0,-1536.0,1405.0,23759.0,8724400,23759.0,76233,192.0,8258603.0,25103.0,120058424.0,144.4
프랑스,France,80.0,79.1,28.0,12.0,0.11625542863781298,10.2,1.6,93.5,116255,65273511,370916.0,28671.0,1563.0,37218.0,7588400,37218.0,118871,34.0,7098613.0,8513.0,103994536.0,160.4
이란,Iran,68.0,54.4,68.0,75.0,0.07273089077989153,0.9,2.1,96.0,72731,83992949,116005.0,-6481.0,3347.0,3781.0,6108882,3781.0,129629,80.0,5863248.0,10182.0,102145230.0,122.7
독일,Germany,71.0,68.4,73.0,39.0,0.0686881860965673,9.6,1.8,83.8,68743,83783942,829899.0,19749.0,4202.0,40481.0,5754967,40481.0,101368,132.0,4823700.0,20600.0,121165530.0,145.8
아르헨티나,Argentina,81.0,64.7,27.0,52.0,0.11783314077108183,3.5,2.2,97.4,117833,45195774,19536.0,160.0,593.0,1521.0,5325560,1521.0,116517,12.0,5189507.0,1349.0,67104576.0,149.3
스페인,Spain,82.4,80.8,38.0,8.0,0.1097430512877208,9.8,1.7,95.8,109743,46754778,128771.0,,597.0,,5131012,,87955,,4914286.0,,76026520.0,163.5
콜롬비아,Colombia,71.5,47.8,44.0,80.0,0.09950647261768204,-999.0,2.5,96.8,99506,50882891,31552.0,-60.0,342.0,2620.0,5063177,2620.0,128394,51.0,4903231.0,2629.0,55791640.0,110.8
이탈리아,Italy,78.0,76.7,63.0,20.0,0.08261230813637682,9.2,2.7,93.7,82612,60461826,178946.0,6328.0,624.0,12869.0,4994891,12869.0,133627,90.0,4682318.0,6451.0,95412570.0,158.1
