국가,백신접종수,백신보유율(인구),1차접종,2차접종,일별접종수
Global Total,7901419500.0,-999.0,-999.0,-999.0,-999.0
Mainland China,2472847000.0,176.6,87.5,76.9,-999.0
India,1222098400.0,89.4,57.1,31.5,-999.0
EU,634449660.0,142.8,70.9,68.9,8.1
U.S.,454447740.0,136.9,69.7,59.1,11.3
Brazil,297960450.0,141.8,77.3,61.1,5.8
Indonesia,232869970.0,87.2,51.5,34.9,-999.0
Japan,196576400.0,155.8,79.0,76.8,-999.0
Mexico,132097390.0,103.5,59.7,50.7,-999.0
Russia,125544770.0,85.6,44.9,37.8,2.8
Pakistan,122319220.0,59.7,39.0,24.3,-999.0
Germany,121165530.0,145.8,71.0,68.4,9.6
Turkey,120058424.0,144.4,67.6,60.5,16.3
U.K.,114304730.0,171.1,76.2,69.3,21.5
Vietnam,112944630.0,117.1,70.3,46.8,-999.0
France,103994536.0,160.4,80.0,79.1,10.2
Iran,102145230.0,122.7,68.0,54.4,0.9
Italy,95412570.0,158.1,78.0,76.7,9.2
Bangladesh,93786660.0,56.3,34.2,21.4,-999.0
Thailand,91658056.0,131.6,68.0,57.7,4.6
South Korea,84150240.0,162.7,82.0,78.8,4.8
Philippines,78528360.0,73.2,41.5,40.9,-999.0
Spain,76026520.0,163.5,82.4,80.8,9.8
Argentina,67104576.0,149.3,81.0,64.7,3.5
Canada,60351980.0,160.8,79.9,76.9,-999.0
Colombia,55791640.0,110.8,71.5,47.8,-999.0
Malaysia,53185336.0,163.2,78.8,76.8,5.8
Morocco,48719196.0,136.9,68.8,68.1,-999.0
Saudi Arabia,47304264.0,138.8,72.1,65.6,-999.0
Poland,41398988.0,109.0,54.6,53.6,6.5
Peru,40591156.0,122.4,65.3,52.2,1.3
Chile,40421676.0,211.6,88.0,83.9,42.6
Australia,39073840.0,153.1,78.2,73.1,1.6
Egypt,36906764.0,37.2,23.8,14.1,-999.0
Uzbekistan,32803308.0,98.6,51.4,17.7,-999.0
Taiwan,30648404.0,129.8,77.0,52.9,-999.0
Sri Lanka,29650996.0,136.0,73.0,63.0,-999.0
Cambodia,28564676.0,173.2,85.6,80.5,13.4
Cuba,27961410.0,246.7,89.5,80.4,-999.0
Myanmar,25869176.0,49.0,29.1,19.8,-999.0
South Africa,25274888.0,43.0,28.9,24.3,-999.0
Ecuador,24512438.0,142.0,77.5,62.8,1.6
Netherlands,24487880.0,142.1,76.7,73.5,-999.0
Ukraine,24194260.0,58.0,31.7,25.9,-999.0
Venezuela,23156914.0,83.2,49.8,33.3,-999.0
UAE,21817896.0,203.0,91.2,82.2,27.1
Belgium,18447990.0,161.0,77.0,75.7,11.9
Nepal,17196376.0,60.4,32.4,28.1,-999.0
Kazakhstan,16766179.0,90.0,46.6,43.1,-999.0
Portugal,16339507.0,159.0,88.3,86.9,-999.0
Israel,16148161.0,178.4,73.1,66.6,44.9
Sweden,15644748.0,151.5,70.8,68.0,-999.0
Romania,14783340.0,76.2,39.5,37.7,-999.0
Greece,14132796.0,131.8,65.3,61.2,11.0
Dominican Republic,13772879.0,133.0,66.2,65.8,12.8
Hungary,13598032.0,139.1,62.3,59.6,19.8
Austria,13412688.0,151.4,70.9,66.4,17.8
Czech Republic,13358175.0,125.4,62.1,59.4,7.2
Algeria,12032500.0,27.7,15.4,12.2,-999.0
Iraq,11715365.0,30.0,18.5,11.4,-999.0
Switzerland,11667889.0,136.5,68.2,66.4,-999.0
Tunisia,11393466.0,96.7,60.6,43.0,3.1
Azerbaijan,10426930.0,104.5,50.8,45.6,8.1
Singapore,10083329.0,176.8,88.9,87.9,-999.0
Guatemala,9880710.0,56.1,33.4,22.5,-999.0
Mozambique,9843638.0,31.6,20.2,11.1,-999.0
Denmark,9681985.0,166.8,78.4,76.6,12.5
Nigeria,9640048.0,4.8,3.1,1.7,-999.0
Hong Kong,9394395.0,124.9,63.0,60.1,-999.0
El Salvador,9121715.0,141.3,68.4,62.5,10.1
Angola,9026310.0,30.0,20.8,9.2,-999.0
Rwanda,8748557.0,70.6,46.9,24.2,-999.0
Norway,8563552.0,159.9,79.1,71.3,9.5
Finland,8554604.0,155.0,77.6,75.7,-999.0
Bolivia,8517323.0,73.7,42.0,34.2,3.1
Ireland,8067138.0,163.0,77.8,76.5,13.5
Ethiopia,8005606.0,8.3,6.8,1.5,-999.0
Honduras,7916340.0,81.0,40.8,40.2,-999.0
Jordan,7912083.0,78.6,40.8,37.8,-999.0
Serbia,7779147.0,111.7,46.8,44.5,20.6
