국가명,eng_code,발생률,인구수,확진자_합계,백신접종,접종률(인구),발생률_순위,접종률_순위,확진자비율_전체인구,1차접종,2차접종,위중증,치명(%),완치(%),확진자1일,사망자합계,사망자1일,완치합계,완치1일,접종비율(일간)
미국,U.S.,110328,331002651,36449535,350627200.0,54.8,14.0,39.0,0.11011855914108676,58.5,50.1,"13081
+210",1.7,81.9,144461.0,632647,748.0,29834481.0,28888.0,712389.0
인도,India,23141,1380004385,31902422,506218300.0,18.5,95.0,100.0,0.02311762364436255,28.8,8.2,8944,1.3,97.3,40647.0,427565,657.0,31055861.0,40017.0,5565503.0
브라질,Brazil,94805,212559417,20108746,149469810.0,36.6,27.0,63.0,0.0946029410684731,52.0,21.1,8318,2.8,93.8,42159.0,561807,1006.0,18868602.0,28370.0,1426282.0
러시아,Russia,44026,145934462,6424884,66216816.0,22.6,73.0,88.0,0.04402581756185869,25.9,18.4,2300,2.6,89.3,22320.0,164094,793.0,5739838.0,19485.0,579461.0
프랑스,France,96283,65273511,6258953,77681230.0,59.9,25.0,29.0,0.09588810076418289,68.9,57.3,"1458
+38",1.8,91.8,25077.0,112158,60.0,5743040.0,10889.0,517893.0
영국,U.K.,89006,67886011,6014023,86207850.0,64.5,29.0,19.0,0.08859001893630192,70.4,58.7,"871
-10",2.2,76.5,31442.0,130178,92.0,4599885.0,14470.0,181407.0
터키,Turkey,69906,84339067,5870741,75907224.0,45.6,49.0,51.0,0.06960879707146866,50.1,34.5,543,0.9,93.5,23957.0,51976,101.0,5491762.0,6941.0,396358.0
아르헨티나,Argentina,110912,45195774,5002951,34214044.0,38.1,13.0,62.0,0.11069510613979086,57.8,18.3,"3657
-57",2.1,92.8,13549.0,107213,190.0,4645158.0,14722.0,333721.0
콜롬비아,Colombia,95015,50882891,4828583,30011576.0,29.8,26.0,74.0,0.09489600345231956,37.4,25.2,8155,2.5,95.9,6980.0,122087,188.0,4632801.0,8132.0,420774.0
스페인,Spain,98132,46754778,4588132,58542496.0,63.0,22.0,22.0,0.09813183157451844,71.3,60.8,"1928
+3",1.8,82.5,21561.0,82006,75.0,3784544.0,10588.0,371077.0
이탈리아,Italy,72619,60461826,4383787,71240660.0,59.0,46.0,32.0,0.0725050381376176,65.2,56.7,"277
+9",2.9,94.7,6599.0,128187,24.0,4150915.0,2936.0,403547.0
이란,Iran,49041,83992949,4119110,12388974.0,7.4,67.0,125.0,0.049041140346197394,11.5,3.3,"6375
+96",2.3,85.3,26439.0,93473,387.0,3515263.0,22795.0,277538.0
독일,Germany,45302,83783942,3793341,94682300.0,57.0,71.0,35.0,0.04527527482533586,62.4,54.6,"417
+24",2.4,96.6,2826.0,92271,14.0,3664100.0,1400.0,375419.0
인도네시아,Indonesia,13306,273523615,3639616,73492870.0,13.8,106.0,112.0,0.013306405006383087,18.7,8.8,,2.9,83.4,31753.0,105598,1588.0,3036194.0,39716.0,783013.0
멕시코,Mexico,22991,128932753,2944226,70808380.0,27.8,96.0,76.5,0.02283536131428141,39.2,21.0,4798,8.3,78.1,21563.0,243733,568.0,2298074.0,14535.0,739529.0
폴란드,Poland,76202,37846611,2883976,34925460.0,46.0,40.0,50.0,0.0762016974254313,48.9,46.9,"44
+2",2.6,92.0,180.0,75285,4.0,2654359.0,135.0,84457.0
우크라이나,Ukraine,51657,43733762,2258532,8761526.0,10.5,64.0,118.0,0.05164275600164468,15.4,5.6,177,2.4,97.0,1054.0,53085,20.0,2190686.0,1393.0,176424.0
페루,Peru,64422,32971854,2122557,14357462.0,21.6,52.0,91.5,0.06437481495581049,25.4,17.9,"1690
-18",9.3,,1496.0,196818,58.0,,,206339.0
네덜란드,Netherlands,109923,17134872,1883513,21344540.0,61.9,16.0,24.0,0.10992279370397398,69.5,55.8,"213
+3",0.9,,2392.0,17867,9.0,,,129195.0
이라크,Iraq,42373,40222493,1704363,2115456.0,2.7,74.0,146.0,0.042373380486386066,2.1,1.3,"953
-15",1.1,89.2,7973.0,19146,59.0,1520000.0,9112.0,57952.0
체코,Czech Republic,156385,10708981,1674726,10631138.0,49.9,5.0,46.0,0.1563851873488243,53.8,47.4,11,1.8,98.0,149.0,30363,,1641904.0,295.0,45313.0
필리핀,Philippines,15051,109581078,1649341,20863544.0,9.7,104.0,119.0,0.015051330303576681,10.9,8.5,2253,1.7,93.6,10996.0,28835,162.0,1544443.0,9068.0,411949.0
칠레,Chile,84876,19116201,1621571,25688832.0,67.2,32.0,12.5,0.0848270532413841,72.5,64.6,"1223
-18",2.2,97.2,1182.0,35880,74.0,1576801.0,559.0,46786.0
캐나다,Canada,38106,37742154,1437701,50419136.0,67.2,82.0,12.5,0.03809271193159776,72.0,60.5,"202
-29",1.9,97.5,1519.0,26654,17.0,1401224.0,642.0,199512.0
