country,Doses_administered,percent_of_people:,1_percent,2_percent,Daily_rate_of_doses
Global Total,5952519000.0,-999.0,-999.0,-999.0,33135900.0
Mainland China,2174043000.0,77.6,78.5,72.3,4494714.0
India,808389300.0,29.6,43.7,14.5,9236028.0
EU,555087700.0,62.5,66.6,62.7,1039973.0
U.S.,385586020.0,60.2,63.8,54.6,763444.0
Brazil,222322660.0,53.9,69.4,37.8,1721039.0
Japan,149882540.0,59.4,65.5,53.3,1108541.0
Indonesia,123454770.0,23.1,29.4,16.8,1381673.0
Germany,105407390.0,63.4,67.1,63.0,211307.0
Turkey,105114640.0,63.2,63.3,50.5,472820.0
Mexico,95271400.0,37.3,48.5,32.5,507287.0
U.K.,93002090.0,69.6,72.7,66.5,83947.0
France,92262410.0,71.2,76.7,72.7,242012.0
Russia,87810616.0,29.9,31.9,27.6,354749.0
Italy,82377670.0,68.2,73.3,67.9,219232.0
Pakistan,72986510.0,17.8,26.6,11.7,862739.0
Spain,69094664.0,74.3,80.4,77.0,140084.0
South Korea,58590416.0,56.7,70.5,42.8,851169.0
Canada,55060360.0,73.4,75.4,69.6,94377.0
Argentina,49017570.0,54.5,64.5,44.3,290888.0
Thailand,44485656.0,31.9,40.8,20.5,632170.0
Iran,42003864.0,25.2,34.1,16.6,1114116.0
Saudi Arabia,40888116.0,60.0,67.7,52.1,183134.0
Philippines,40518844.0,18.9,22.2,16.8,403560.0
Malaysia,40375056.0,62.0,67.3,56.2,269572.0
Colombia,38331644.0,38.0,49.3,31.7,163255.0
Morocco,37238090.0,52.3,57.2,47.4,255455.0
Poland,36947136.0,48.6,51.7,50.7,30007.0
Bangladesh,36832790.0,11.1,13.3,8.8,363460.0
Vietnam,33555360.0,17.4,28.2,6.6,920967.0
Chile,30785686.0,80.6,76.8,73.3,83791.0
Sri Lanka,24803998.0,56.9,62.9,50.3,114450.0
Australia,24619474.0,48.2,58.5,37.0,278586.0
Netherlands,23320388.0,67.7,70.0,63.4,40806.0
Peru,23158836.0,34.9,42.0,27.9,225799.0
Cambodia,21612644.0,65.5,70.4,61.3,266799.0
Ecuador,20456672.0,59.2,63.6,56.5,26055.0
UAE,19445872.0,90.5,84.5,74.5,71904.0
Cuba,17766272.0,78.4,69.7,39.3,224330.0
Uzbekistan,17435318.0,26.2,29.4,10.1,182147.0
Ukraine,16558742.0,19.8,27.4,12.3,149085.0
Belgium,16442235.0,71.8,74.3,72.4,12861.0
South Africa,15992374.0,15.4,19.3,13.2,185970.0
Portugal,15550992.0,75.7,86.1,81.0,35729.0
Israel,14732087.0,81.4,67.0,61.6,44039.0
Kazakhstan,13427908.0,36.0,39.0,32.8,68441.0
Sweden,13403076.0,64.9,68.5,61.3,43360.0
Taiwan,13171843.0,27.9,49.1,6.7,144395.0
Egypt,12194537.0,6.1,7.9,4.4,236069.0
Greece,11880179.0,55.4,59.3,55.4,26140.0
Nepal,11782181.0,20.7,21.8,19.5,120269.0
Czech Republic,11712553.0,55.0,56.7,55.3,11672.0
Dominican Republic,11632704.0,56.2,57.6,53.2,25348.0
Hungary,11167215.0,57.1,59.9,56.9,5617.0
Venezuela,11094206.0,19.9,24.5,15.4,109462.0
Austria,10717808.0,60.5,63.9,60.4,13629.0
Switzerland,10055192.0,58.8,61.7,53.7,33985.0
Algeria,9989662.0,11.5,13.4,9.6,284237.0
Romania,9940596.0,25.6,27.6,27.0,10084.0
Singapore,9104751.0,79.8,81.7,79.7,10278.0
Denmark,8773849.0,75.6,76.5,74.6,6462.0
Hong Kong,8380084.0,55.7,58.6,52.9,32605.0
Myanmar,8184418.0,7.7,9.4,6.1,83945.0
Azerbaijan,7806235.0,39.1,45.8,32.4,53555.0
Norway,7586733.0,70.8,75.5,66.1,36254.0
Finland,7374481.0,66.8,74.4,59.3,22215.0
Ireland,7119653.0,71.9,75.8,72.8,14259.0
El Salvador,7065918.0,54.7,60.0,49.4,25563.0
Tunisia,7017171.0,29.8,39.1,26.6,61675.0
Jordan,6805103.0,33.8,36.0,31.4,19430.0
Iraq,6672182.0,8.5,10.7,6.3,306900.0
Bolivia,6382661.0,27.6,36.0,26.1,18201.0
Serbia,6275408.0,45.1,43.0,41.1,22765.0
Guatemala,6118069.0,17.4,23.1,11.3,84774.0
Uruguay,6017599.0,85.5,77.2,72.7,14148.0
Nigeria,5858737.0,1.5,2.1,0.9,50553.0
Panama,5053633.0,59.9,68.6,51.2,15406.0
Zimbabwe,4964302.0,16.7,19.7,13.6,70699.0
Costa Rica,4872085.0,48.0,62.0,34.0,41639.0
Slovakia,4711472.0,43.2,44.3,40.8,5370.0
Qatar,4658268.0,83.3,84.4,79.4,10124.0
Honduras,4637151.0,23.7,30.2,17.3,18510.0
New Zealand,4569255.0,46.4,61.2,31.6,52341.0
Mongolia,4429335.0,67.2,68.2,66.3,69377.0
Laos,4402770.0,30.7,37.0,26.0,9906.0
Paraguay,4401222.0,30.8,35.7,25.9,21695.0
Oman,4336872.0,51.7,64.6,38.8,30052.0
Tajikistan,3446777.0,18.5,23.3,13.8,54448.0
Mozambique,3427486.0,5.5,6.0,5.0,292987.0
Croatia,3364565.0,41.4,43.8,41.0,5377.0
Kenya,3351109.0,3.5,5.1,1.8,40763.0
Lithuania,3317832.0,59.6,61.9,57.4,7180.0
Belarus,3206505.0,16.9,18.5,15.4,17321.0
Ethiopia,2960109.0,1.5,2.5,0.6,38966.0
Rwanda,2882134.0,11.6,14.7,8.5,36831.0
Lebanon,2814277.0,20.5,22.5,18.5,2045.0
Bahrain,2535900.0,85.4,78.2,74.4,2395.0
Angola,2469333.0,4.1,5.0,3.2,31917.0
Bulgaria,2463666.0,17.7,17.1,18.4,7954.0
Kuwait,2380000.0,25.1,56.2,19.4,12990.0
Slovenia,2054659.0,50.7,52.5,46.8,13329.0
Afghanistan,1979652.0,2.7,2.1,1.2,389183.0
Senegal,1768064.0,5.4,7.4,3.5,3994.0
Ivory Coast,1698973.0,3.2,4.5,1.0,49953.0
Uganda,1697748.0,2.1,2.6,0.9,14829.0
Albania,1632986.0,28.4,31.8,25.1,7070.0
Mauritius,1625865.0,64.2,66.5,61.8,5742.0
Georgia,1610309.0,21.6,25.1,18.1,30838.0
