국가,백신접종수,Enough_for_percent_of_people:,1차접종,2차접종,일별접종수
Global Total,6172363300.0,-999.0,-999.0,-999.0,31740868.0
Mainland China,2200202000.0,78.6,78.6,73.0,3223429.0
India,870566900.0,31.8,46.2,16.4,7488509.0
EU,562942140.0,63.4,67.2,64.6,999304.0
U.S.,390114340.0,60.9,64.3,55.3,716762.0
Brazil,232250880.0,56.3,71.1,41.4,3757702.0
Japan,159494780.0,63.2,68.9,57.4,1026446.0
Indonesia,136941020.0,25.7,32.2,18.1,1755924.0
Turkey,108344730.0,65.1,64.4,52.7,386308.0
Germany,107030470.0,64.4,67.8,64.1,194734.0
Mexico,99366400.0,38.9,49.7,34.9,532540.0
France,93817816.0,72.4,77.4,74.4,435139.0
U.K.,93500856.0,70.0,73.0,67.0,63103.0
Russia,89682024.0,30.6,32.4,28.4,220487.0
Italy,84158584.0,69.7,74.3,74.4,222470.0
Pakistan,76141490.0,18.6,27.5,12.5,686980.0
Spain,69867540.0,75.1,80.9,78.4,76386.0
South Korea,61329870.0,59.3,73.7,44.9,374506.0
Canada,55964812.0,74.6,76.2,70.6,109885.0
Argentina,51153324.0,56.9,65.6,47.7,260261.0
Thailand,46023016.0,33.1,42.4,22.8,567300.0
Philippines,43933890.0,20.5,23.5,18.9,359982.0
Iran,43372270.0,26.0,35.5,16.8,1368407.0
Malaysia,42699196.0,65.5,70.1,60.3,290646.0
Saudi Arabia,41770520.0,61.3,68.4,54.2,104852.0
Bangladesh,40976790.0,12.3,14.8,9.8,510835.0
Morocco,40273384.0,56.6,61.6,51.6,262478.0
Colombia,39610550.0,39.3,50.9,32.6,166927.0
Vietnam,38367250.0,19.9,31.5,8.2,610286.0
Poland,37147012.0,48.9,52.0,51.0,27470.0
Chile,31552752.0,82.6,78.5,73.8,109571.0
Australia,26806344.0,52.5,62.8,41.7,287756.0
Sri Lanka,26002444.0,59.6,65.9,53.2,162348.0
Peru,25683070.0,38.7,46.4,30.8,247857.0
Cambodia,23830570.0,72.2,79.6,66.0,239722.0
Netherlands,23440062.0,68.0,70.3,63.6,19363.0
Ecuador,20571336.0,59.6,64.2,57.0,16381.0
Cuba,19991460.0,88.2,78.4,43.4,300725.0
UAE,19872800.0,92.4,85.9,76.0,55176.0
Uzbekistan,18526940.0,27.9,29.4,11.1,155946.0
Ukraine,17699200.0,21.2,29.3,13.1,175972.0
South Africa,16999722.0,16.2,20.7,14.3,119548.0
Belgium,16623734.0,72.6,74.8,73.1,21138.0
Portugal,15944324.0,77.6,86.9,84.0,31090.0
Egypt,15057720.0,7.6,9.7,5.5,299053.0
Israel,14958007.0,82.6,67.3,62.1,28216.0
Taiwan,14430076.0,30.6,52.0,9.1,163068.0
Algeria,14082920.0,16.2,13.9,9.6,292376.0
Venezuela,14050000.0,25.3,31.6,18.9,246316.0
Kazakhstan,13932708.0,37.4,40.3,34.3,56655.0
Sweden,13607052.0,65.9,69.0,62.8,35743.0
Nepal,12645634.0,22.2,23.2,21.2,134788.0
Greece,12066901.0,56.3,59.8,56.5,22529.0
Dominican Republic,11798933.0,57.0,58.2,55.5,23075.0
Czech Republic,11779255.0,55.3,57.0,55.8,9196.0
Hungary,11167215.0,57.1,60.2,57.6,5617.0
Austria,10792944.0,60.9,64.4,60.8,10382.0
Switzerland,10330401.0,60.4,64.1,55.3,28561.0
Romania,10071932.0,26.0,28.2,27.5,16658.0
Singapore,9286999.0,81.4,82.1,79.2,22820.0
Myanmar,9001616.0,8.5,10.5,6.6,163440.0
Denmark,8811697.0,75.9,76.7,75.1,4823.0
Hong Kong,8600780.0,57.2,59.4,55.0,27967.0
Azerbaijan,8349945.0,41.8,47.2,36.4,53342.0
Norway,7747721.0,72.3,77.2,67.5,18880.0
Finland,7523495.0,68.2,74.8,61.6,20972.0
Iraq,7448300.0,9.5,11.7,7.3,110874.0
Tunisia,7425277.0,31.5,40.5,29.0,41843.0
El Salvador,7349843.0,56.9,62.5,51.3,28000.0
Ireland,7195154.0,72.7,76.1,74.0,9286.0
Jordan,6942596.0,34.5,36.5,32.2,16609.0
Guatemala,6682813.0,19.0,24.8,13.0,76298.0
Bolivia,6651655.0,28.8,36.7,26.7,29787.0
Nigeria,6552979.0,1.6,2.3,0.9,52334.0
Serbia,6409263.0,46.0,43.4,41.4,18286.0
Uruguay,6190557.0,88.0,77.6,72.9,22438.0
Panama,5367816.0,63.6,69.7,57.5,16408.0
Costa Rica,5278479.0,52.0,64.5,39.5,8303.0
Zimbabwe,5234875.0,17.6,20.4,14.7,31405.0
Honduras,5196072.0,26.6,32.8,20.4,46577.0
New Zealand,5045901.0,51.2,65.8,36.7,40461.0
