국가명,eng_code,발생률,인구수,확진자_합계,백신접종,접종가능률(인구),발생률_순위,접종률_순위,확진자비율(인구),1차접종,2차접종,위중증,치명(%),완치(%),확진자1일,사망자합계,사망자1일,완치합계,완치1일,접종비율(일간)
미국,U.S.,132772,331002651,43942335,390114340.0,60.9,13.0,47.5,0.13275523584854915,64.3,55.3,"21819
-275",1.6,76.0,187382.0,709119,2781.0,33394833.0,208564.0,716762.0
인도,India,24431,1380004385,33714241,870566900.0,31.8,103.0,95.0,0.024430531791389924,46.2,16.4,8944,1.3,97.8,21093.0,447699,337.0,32976760.0,28144.0,7488509.0
브라질,Brazil,100520,212559417,21366395,232250880.0,56.3,29.0,61.5,0.10051963494047408,71.1,41.4,8318,2.8,95.3,14423.0,594702,218.0,20361191.0,20818.0,3757702.0
영국,U.K.,113959,67886011,7701715,93500856.0,70.0,20.0,26.0,0.11345069310376772,73.0,67.0,"878
-38",1.8,80.7,37485.0,136208,40.0,6219111.0,33541.0,63103.0
러시아,Russia,51151,145934462,7464708,89682024.0,30.6,77.0,99.5,0.05115109822380405,32.4,28.4,2300,2.8,88.9,21559.0,205531,852.0,6635485.0,17368.0,220487.0
터키,Turkey,83789,84339067,7066688,108344730.0,65.1,44.0,38.0,0.08378902270759055,64.4,52.7,633,0.9,92.3,27188.0,63372,206.0,6522435.0,25160.0,386308.0
프랑스,France,107174,65273511,6995628,93817816.0,72.4,23.0,22.0,0.10717407249626881,77.4,74.4,1609,1.7,96.3,1309.0,116537,74.0,6737491.0,14460.0,435139.0
이란,Iran,66192,83992949,5559691,43372270.0,26.0,62.0,107.5,0.06619235383674885,35.5,16.8,"6124
-85",2.2,89.7,11701.0,119888,239.0,4988109.0,22011.0,1368407.0
아르헨티나,Argentina,116204,45195774,5251940,51153324.0,56.9,18.0,58.5,0.11620422741294352,65.6,47.7,"1200
-37",2.2,97.4,1538.0,114954,92.0,5113603.0,2007.0,260261.0
콜롬비아,Colombia,97335,50882891,4952690,39610550.0,39.3,33.0,80.0,0.09733507477002437,50.9,32.6,542,2.5,96.8,1015.0,126178,33.0,4793387.0,1672.0,166927.0
스페인,Spain,105907,46754778,4951640,69867540.0,75.1,26.0,18.0,0.10590660915981678,80.9,78.4,837,1.7,95.6,5039.0,86298,69.0,4736022.0,27855.0,76386.0
이탈리아,Italy,77157,60461826,4662087,84158584.0,69.7,51.0,27.0,0.07710794245612099,74.3,74.4,"488
+5",2.8,95.0,1773.0,130742,45.0,4430265.0,2892.0,222470.0
독일,Germany,50275,83783942,4212201,107030470.0,64.4,78.0,40.0,0.05027456215893972,67.8,64.1,1435,2.2,94.4,4941.0,94049,66.0,3978200.0,11500.0,194734.0
인도네시아,Indonesia,15397,273523615,4211460,136941020.0,25.7,110.0,110.0,0.015397061785688962,32.2,18.1,,3.4,95.7,2057.0,141709,124.0,4031099.0,3551.0,1755924.0
멕시코,Mexico,28199,128932753,3635807,99366400.0,38.9,95.0,81.0,0.028199250503865375,49.7,34.9,4798,7.6,82.3,3007.0,275676,230.0,2991723.0,7262.0,532540.0
폴란드,Poland,76747,37846611,2904631,37147012.0,48.9,52.0,71.0,0.0767474530282249,52.0,51.0,"168
+15",2.6,91.7,976.0,75601,29.0,2662115.0,107.0,27470.0
필리핀,Philippines,23024,109581078,2522965,43933890.0,20.5,105.0,121.0,0.02302372860394748,23.5,18.9,3170,1.5,93.3,32107.0,37686,281.0,2353140.0,61134.0,359982.0
우크라이나,Ukraine,54922,43733762,2401956,17699200.0,21.2,75.0,118.0,0.05492223605186309,29.3,13.1,177,2.3,93.6,6552.0,55863,143.0,2248071.0,2927.0,175972.0
말레이시아,Malaysia,68257,32365999,2209194,42699196.0,65.5,60.0,36.0,0.06825662943386979,70.1,60.3,"978
-72",1.2,90.8,10959.0,25695,258.0,2005939.0,16430.0,290646.0
페루,Peru,65915,32971854,2173354,25683070.0,38.7,63.0,82.0,0.06591543199238963,46.4,30.8,"1025
+2",9.2,,320.0,199314,22.0,,,247857.0
네덜란드,Netherlands,116697,17134872,1999592,23440062.0,68.0,16.0,33.0,0.11669722423371473,70.3,63.6,"160
-17",0.9,,1707.0,18162,8.0,,,19363.0
이라크,Iraq,49689,40222493,1998615,7448300.0,9.5,81.0,138.0,0.04968898869595179,11.7,7.3,"516
-5",1.1,95.3,2401.0,22187,45.0,1904022.0,3795.0,110874.0
일본,Japan,13428,126476461,1698344,159494780.0,63.2,113.0,44.0,0.01342814296487945,68.9,57.4,"1066
-44",1.0,96.8,1722.0,17577,50.0,1643625.0,4341.0,1026446.0
체코,Czech Republic,157838,10708981,1690288,11779255.0,55.3,7.0,63.5,0.15783836015770314,57.0,55.8,"36
+6",1.8,97.8,668.0,30454,,1653600.0,431.0,9196.0
칠레,Chile,86460,19116201,1652795,31552752.0,82.6,41.0,9.5,0.08646043217478201,78.5,73.8,"389
+9",2.3,97.3,431.0,37449,4.0,1608584.0,1088.0,109571.0
캐나다,Canada,42722,37742154,1612431,55964812.0,74.6,87.0,19.0,0.04272228341816421,76.2,70.6,638,1.7,95.4,10052.0,27698,49.0,1538280.0,10029.0,109885.0
태국,Thailand,22656,69799978,1581415,46023016.0,33.1,106.0,93.0,0.022656382499146345,42.4,22.8,3324,1.0,91.6,9489.0,16498,129.0,1448206.0,12805.0,567300.0
방글라데시,Bangladesh,9435,164689383,1553873,40976790.0,12.3,120.0,133.0,0.009435174093766567,14.8,9.8,"1408
-5",1.8,97.4,1310.0,27470,31.0,1513876.0,1195.0,510835.0
이스라엘,Israel,146753,8655535,1270230,14958007.0,82.6,10.0,9.5,0.14675349357376521,67.3,62.1,641,0.6,94.9,,7684,,1205657.0,,28216.0
파키스탄,Pakistan,5622,220892340,1241825,76141490.0,18.6,130.0,125.0,0.005621856330554513,27.5,12.5,"4015
-18",2.2,93.8,1400.0,27638,41.0,1164219.0,2042.0,686980.0
벨기에,Belgium,106851,11589623,1238358,16623734.0,72.6,24.0,21.0,0.10685058521748292,74.8,73.1,"206
-10",2.1,93.1,4635.0,25568,14.0,1152355.0,7685.0,21138.0
루마니아,Romania,62939,19237691,1210810,10071932.0,26.0,65.0,107.5,0.06293946607209774,28.2,27.5,"1267
+49",3.0,91.2,11049.0,36658,208.0,1104496.0,5701.0,16658.0
스웨덴,Sweden,113986,10099265,1151173,13607052.0,65.9,19.0,34.0,0.11398581976015086,69.0,62.8,"35
-7",1.3,,1766.0,14808,27.0,,,35743.0
포르투갈,Portugal,104718,10196709,1067775,15944324.0,77.6,27.0,13.0,0.10471761035840094,86.9,84.0,"74
-5",1.7,95.5,600.0,17962,7.0,1019266.0,1331.0,31090.0
모로코,Morocco,25188,36910560,929699,40273384.0,56.6,102.0,60.0,0.025187886610227535,61.6,51.6,"552
-46",1.5,96.9,394.0,14199,32.0,901220.0,2248.0,262478.0
세르비아,Serbia,106012,8737371,926269,6409263.0,46.0,25.0,74.0,0.10601232338651981,43.4,41.4,"251
+26",0.9,85.5,8467.0,8142,45.0,792262.0,5785.0,18286.0
카자흐스탄,Kazakhstan,46904,18776707,880709,13932708.0,37.4,84.0,84.0,0.04690433737928594,40.3,34.3,221,1.3,92.6,1719.0,11100,35.0,815664.0,2781.0,56655.0
쿠바,Cuba,76528,11326616,866808,19991460.0,88.2,53.0,5.0,0.07652841766684772,78.4,43.4,"406
+20",0.8,95.4,6009.0,7330,51.0,826727.0,7105.0,300725.0
스위스,Switzerland,96800,8654622,837767,10330401.0,60.4,34.0,50.0,0.0967999526726875,64.1,55.3,209,1.3,90.7,1288.0,11079,26.0,759741.0,,28561.0
헝가리,Hungary,85041,9660351,821526,11167215.0,57.1,42.0,57.0,0.08504100937947286,60.2,57.6,"74
+3",3.7,95.4,265.0,30179,8.0,783815.0,648.0,5617.0
요르단,Jordan,80446,10203134,820798,6942596.0,34.5,49.0,91.0,0.08044567482893002,36.5,32.2,"446
-30",1.3,97.2,1015.0,10697,17.0,797773.0,1069.0,16609.0
네팔,Nepal,27226,29136808,793271,12645634.0,22.2,98.0,116.0,0.027225734541683495,23.2,21.2,,1.4,96.3,904.0,11115,12.0,763734.0,1318.0,134788.0
베트남,Vietnam,7917,97338579,770640,38367250.0,19.9,123.0,122.0,0.00791710756328177,31.5,8.2,,2.5,72.7,4589.0,18936,178.0,559941.0,21487.0,610286.0
오스트리아,Austria,82026,9006398,738763,10792944.0,60.9,48.0,47.5,0.08202646607445063,64.4,60.8,"240
+6",1.5,95.8,1561.0,10986,10.0,707860.0,2758.0,10382.0
아랍에미레이트,UAE,74361,9890402,735457,19872800.0,92.4,56.0,3.0,0.07436067816050349,85.9,76.0,,0.3,99.0,277.0,2094,,727845.0,329.0,55176.0
튀니지,Tunisia,59692,11818619,705474,7425277.0,31.5,69.0,96.0,0.05969174571072983,40.5,29.0,316,3.5,95.5,179.0,24794,6.0,673438.0,394.0,41843.0
그리스,Greece,62179,10423054,648091,12066901.0,56.3,66.0,61.5,0.062178609071774936,59.8,56.5,"323
-14",2.3,93.8,2122.0,14727,48.0,608082.0,2382.0,22529.0
레바논,Lebanon,91194,6825445,622440,2929966.0,21.4,37.0,117.0,0.09119405401406062,23.5,19.3,200,1.3,94.9,205.0,8296,10.0,591002.0,2425.0,28922.0
조지아,Georgia,152749,3989167,609340,1749457.0,23.5,9.0,115.0,0.1527486816169892,26.1,20.9,,1.5,95.3,2185.0,8884,40.0,580891.0,2010.0,13488.0
과테말라,Guatemala,30718,17915568,550333,6682813.0,19.0,93.0,124.0,0.030718144130289365,24.8,13.0,5,2.4,92.3,773.0,13394,19.0,507777.0,2564.0,76298.0
사우디아라비아,Saudi Arabia,15713,34813871,547035,41770520.0,61.3,108.0,46.0,0.015713133423169174,68.4,54.2,"227
-17",1.6,98.0,50.0,8709,5.0,536079.0,53.0,104852.0
벨라루스,Belarus,56523,9449323,534104,3389520.0,17.9,74.0,127.0,0.05652299111798803,19.8,16.0,,0.8,96.6,1955.0,4114,12.0,516030.0,1469.0,26145.0
코스타리카,Costa Rica,103256,5094118,525999,5278479.0,52.0,28.0,67.5,0.10325614758040548,64.5,39.5,"443
-16",1.2,80.8,4817.0,6277,88.0,425077.0,4873.0,8303.0
스리랑카,Sri Lanka,24031,21413249,514592,26002444.0,59.6,104.0,52.5,0.024031476960829252,65.9,53.2,,2.5,88.5,983.0,12731,51.0,455344.0,812.0,162348.0
에콰도르,Ecuador,28830,17643054,508655,20571336.0,59.6,94.0,52.5,0.02883032608753564,64.2,57.0,759,6.4,87.3,797.0,32747,27.0,443880.0,,16381.0
볼리비아,Bolivia,42765,11673021,499202,6651655.0,28.8,86.0,102.0,0.0427654503491427,36.7,26.7,220,3.7,91.8,307.0,18707,7.0,458227.0,711.0,29787.0
불가리아,Bulgaria,71296,6948445,495397,2513769.0,18.1,58.0,126.0,0.07129609574516313,17.3,18.9,"432
-108",4.2,87.3,2536.0,20638,149.0,432315.0,2268.0,6080.0
아제르바이잔,Azerbaijan,47479,10139177,481401,8349945.0,41.8,83.0,78.0,0.04747929738281519,47.2,36.4,,1.3,94.1,,6476,,452968.0,,53342.0
파나마,Panama,108084,4314767,466357,5367816.0,63.6,22.0,43.0,0.10808393593443169,69.7,57.5,61,1.5,97.7,179.0,7216,8.0,455577.0,180.0,16408.0
파라과이,Paraguay,64473,7132538,459855,4488153.0,31.4,64.0,97.0,0.06447284262628535,36.7,26.1,23,3.5,96.3,27.0,16191,48.0,442854.0,109.0,9811.0
미얀마,Myanmar,8444,54409800,459436,9001616.0,8.5,122.0,139.0,0.008443993545280446,10.5,6.6,,3.8,90.1,1282.0,17583,56.0,413821.0,1866.0,163440.0
쿠웨이트,Kuwait,96365,4270571,411533,2380000.0,25.1,35.0,113.0,0.09636486549456735,56.2,19.4,"10
-2",0.6,99.2,49.0,2447,1.0,408424.0,42.0,12990.0
슬로바키아,Slovakia,75027,5459642,409621,4755737.0,43.6,55.0,75.0,0.07502708053018861,44.8,41.2,"119
+20",3.1,94.4,1012.0,12606,10.0,386622.0,474.0,5792.0
크로아티아,Croatia,97721,4105267,401169,3408049.0,41.9,32.0,77.0,0.09772056238973006,44.4,41.6,"102
+5",2.1,96.1,1061.0,8614,8.0,385455.0,1098.0,5675.0
우루과이,Uruguay,111860,3473730,388572,6190557.0,88.0,21.0,6.0,0.11186016184332116,77.6,72.9,"13
-1",1.6,98.1,70.0,6053,1.0,381190.0,152.0,22438.0
아일랜드,Ireland,78116,4937786,385721,7195154.0,72.7,50.0,20.0,0.07811618405495904,76.1,74.0,"66
+1",1.4,88.0,1044.0,5209,,339559.0,1926.0,9286.0
베네수엘라,Venezuela,12827,28435940,364758,14050000.0,25.3,115.0,112.0,0.012827358617299094,31.6,18.9,681,1.2,95.3,1458.0,4427,15.0,347693.0,1090.0,246316.0
온두라스,Honduras,36812,9904607,364605,5196072.0,26.6,90.0,105.0,0.03681165744385416,32.8,20.4,"418
-33",2.7,30.0,1588.0,9705,26.0,109496.0,557.0,46577.0
덴마크,Denmark,61777,5792202,357827,8811697.0,75.9,67.0,17.0,0.06177736895225684,76.7,75.1,"15
-3",0.7,97.9,457.0,2652,6.0,350430.0,403.0,4823.0
에티오피아,Ethiopia,2978,114963588,342305,3535329.0,1.8,147.0,164.0,0.0029775079740900225,2.9,0.8,"791
-7",1.6,90.3,591.0,5439,38.0,308938.0,543.0,50101.0
