한글(국가명),영문(블룸버그),1차접종,2차접종,발생률순위,2차접종률순위,확진자비율(인구),일별접종수,치명(%),완치(%),발생률,인구수,치료중합계,치료중1일,위중증합계,위중증1일,확진자합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일,백신접종수,백신보유율(인구)
미국,U.S.,64.4,55.8,13.0,52.5,0.13309770138366656,701422.0,1.6,76.1,133098,331002651,9823512.0,-14871.0,21296.0,113357.0,44055692,113357.0,711222,2103.0,33520958.0,126125.0,391152580.0,61.1
인도,India,46.7,16.8,103.0,119.0,0.024433968736990642,7178901.0,1.3,97.8,24434,1380004385,284976.0,-4806.0,8944.0,4743.0,33718984,4743.0,447828,129.0,32986180.0,9420.0,876538600.0,32.0
브라질,Brazil,71.3,41.9,29.0,70.5,0.10059206174808054,1317163.0,2.8,95.3,100592,212559417,403027.0,-7475.0,8318.0,15395.0,21381790,15395.0,595520,818.0,20383243.0,22052.0,233261970.0,56.5
영국,U.K.,73.0,67.1,20.0,24.0,0.11395919256472442,63126.0,1.8,80.9,113959,67886011,1344510.0,-1886.0,831.0,34520.0,7736235,34520.0,136375,167.0,6255350.0,36239.0,93565470.0,70.0
러시아,Russia,32.6,28.5,77.0,89.0,0.051304797354856456,214966.0,2.8,88.9,51305,145934462,626809.0,3117.0,2300.0,22430.0,7487138,22430.0,206388,857.0,6653941.0,18456.0,89865310.0,30.6
터키,Turkey,64.5,53.0,44.0,57.0,0.08413159230229568,381129.0,0.9,92.4,84132,84339067,479198.0,-1683.0,633.0,28892.0,7095580,28892.0,63611,239.0,6552771.0,30336.0,108761680.0,65.4
프랑스,France,77.4,74.6,23.0,12.0,0.10727771331313862,229555.0,1.7,96.4,107278,65273511,135537.0,-6063.0,1609.0,6765.0,7002393,6765.0,116615,78.0,6750241.0,12750.0,94250530.0,72.7
이란,Iran,35.5,16.8,62.0,119.0,0.06635035519469616,1368407.0,2.2,89.9,66350,83992949,443129.0,-8565.0,6016.0,13271.0,5572962,13271.0,120160,272.0,5009673.0,21564.0,43372270.0,26.0
아르헨티나,Argentina,65.7,48.3,18.0,62.0,0.11624460729447846,222650.0,2.2,97.4,116245,45195774,23643.0,260.0,1184.0,1825.0,5253765,1825.0,115038,84.0,5115084.0,1481.0,51222136.0,57.0
콜롬비아,Colombia,51.4,32.8,33.0,84.0,0.09736820967975267,169329.0,2.5,96.8,97368,50882891,32182.0,-943.0,542.0,1686.0,4954376,1686.0,126219,41.0,4795975.0,2588.0,39701908.0,39.4
스페인,Spain,81.0,78.5,26.0,6.0,0.10595558811123004,72816.0,1.7,95.8,105956,46754778,122061.0,-7259.0,771.0,2290.0,4953930,2290.0,86358,60.0,4745511.0,9489.0,69936750.0,75.2
이탈리아,Italy,74.5,74.5,51.0,13.0,0.07715693204502293,211345.0,2.8,95.1,77157,60461826,98872.0,-2208.0,459.0,2962.0,4665049,2962.0,130807,65.0,4435370.0,5105.0,84351560.0,69.9
독일,Germany,67.9,64.2,79.0,31.0,0.05038353292090267,194817.0,2.2,94.5,50384,83783942,137491.0,-2461.0,1435.0,9130.0,4221331,9130.0,94140,91.0,3989700.0,11500.0,107197990.0,64.5
